year,party,support
1975,1,0.001
1975,2,0.067
1975,3,0
1975,4,0.059
1975,5,0
1975,6,0
1975,7,0.029
1975,8,0.021
1975,9,0.066
1975,10,0
1975,11,0.668
1975,12,0.088
1979,1,0.009
1979,2,0.085
1979,3,0.009
1979,4,0.039
1979,5,0
1979,6,0
1979,7,0.017
1979,8,0.029
1979,9,0.061
1979,10,0
1979,11,0.722
1979,12,0.029
1983,1,0.037
1983,2,0.091
1983,3,0.161
1983,4,0.093
1983,5,0
1983,6,0
1983,7,0.025
1983,8,0.009
1983,9,0.086
1983,10,0
1983,11,0.453
1983,12,0.044
1987,1,0.026
1987,2,0.06
1987,3,0.097
1987,4,0.058
1987,5,0
1987,6,0
1987,7,0.038
1987,8,0.011
1987,9,0.107
1987,10,0
1987,11,0.52
1987,12,0.083
1991,1,0.022
1991,2,0.111
1991,3,0.119
1991,4,0.068
1991,5,0
1991,6,0
1991,7,0.043
1991,8,0.001
1991,9,0.053
1991,10,0
1991,11,0.461
1991,12,0.123
1995,1,0.021
1995,2,0.146
1995,3,0.094
1995,4,0.088
1995,5,0
1995,6,0
1995,7,0.023
1995,8,0.01
1995,9,0.052
1995,10,0
1995,11,0.512
1995,12,0.055
1999,1,0.022
1999,2,0.137
1999,3,0.061
1999,4,0.015
1999,5,0
1999,6,0
1999,7,0.017
1999,8,0.007
1999,9,0.059
1999,10,0
1999,11,0.626
1999,12,0.057
2003,1,0.002
2003,2,0.206
2003,3,0.071
2003,4,0.014
2003,5,0
2003,6,0
2003,7,0.013
2003,8,0.014
2003,9,0.078
2003,10,0
2003,11,0.543
2003,12,0.059
2007,1,0.003
2007,2,0.116
2007,3,0.099
2007,4,0.013
2007,5,0.05
2007,6,0
2007,7,0.012
2007,8,0.041
2007,9,0.056
2007,10,0
2007,11,0.551
2007,12,0.058
2011,1,0
2011,2,0.109
2011,3,0.058
2011,4,0.014
2011,5,0.069
2011,6,0.039
2011,7,0.027
2011,8,0.023
2011,9,0.035
2011,10,0
2011,11,0.525
2011,12,0.101
2015,1,0
2015,2,0.123
2015,3,0.055
2015,4,0.016
2015,5,0.051
2015,6,0.024
2015,7,0.01
2015,8,0.006
2015,9,0.055
2015,10,0
2015,11,0.543
2015,12,0.117
