year,party,support
1975,1,0
1975,2,0.305
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0.047
1975,8,0.098
1975,9,0.231
1975,10,0
1975,11,0.137
1975,12,0.182
1979,1,0
1979,2,0.378
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0.079
1979,8,0.095
1979,9,0.213
1979,10,0
1979,11,0.162
1979,12,0.073
1983,1,0
1983,2,0.225
1983,3,0.076
1983,4,0.034
1983,5,0
1983,6,0
1983,7,0.011
1983,8,0.099
1983,9,0.334
1983,10,0
1983,11,0.177
1983,12,0.043
1987,1,0.006
1987,2,0.179
1987,3,0.135
1987,4,0
1987,5,0
1987,6,0
1987,7,0.033
1987,8,0.095
1987,9,0.339
1987,10,0
1987,11,0.161
1987,12,0.053
1991,1,0
1991,2,0.201
1991,3,0.112
1991,4,0.016
1991,5,0
1991,6,0
1991,7,0.052
1991,8,0.044
1991,9,0.286
1991,10,0
1991,11,0.154
1991,12,0.136
1995,1,0
1995,2,0.23
1995,3,0.107
1995,4,0.029
1995,5,0
1995,6,0
1995,7,0.003
1995,8,0.044
1995,9,0.207
1995,10,0
1995,11,0.26
1995,12,0.121
1999,1,0
1999,2,0.201
1999,3,0.057
1999,4,0.025
1999,5,0
1999,6,0
1999,7,0.054
1999,8,0.092
1999,9,0.175
1999,10,0
1999,11,0.345
1999,12,0.051
2003,1,0
2003,2,0.156
2003,3,0.083
2003,4,0.024
2003,5,0
2003,6,0
2003,7,0.005
2003,8,0.127
2003,9,0.161
2003,10,0
2003,11,0.382
2003,12,0.063
2007,1,0
2007,2,0.157
2007,3,0.113
2007,4,0.041
2007,5,0
2007,6,0
2007,7,0.002
2007,8,0.107
2007,9,0.155
2007,10,0
2007,11,0.388
2007,12,0.038
2011,1,0
2011,2,0.167
2011,3,0.072
2011,4,0.027
2011,5,0.051
2011,6,0.035
2011,7,0
2011,8,0.113
2011,9,0.144
2011,10,0
2011,11,0.378
2011,12,0.012
2015,1,0
2015,2,0.159
2015,3,0.06
2015,4,0.021
2015,5,0.076
2015,6,0.044
2015,7,0.004
2015,8,0.108
2015,9,0.157
2015,10,0
2015,11,0.347
2015,12,0.025
