year,party,support
1975,1,0.04
1975,2,0.268
1975,3,0.016
1975,4,0
1975,5,0
1975,6,0
1975,7,0.024
1975,8,0.045
1975,9,0.543
1975,10,0
1975,11,0.013
1975,12,0.051
1979,1,0.081
1979,2,0.233
1979,3,0.053
1979,4,0
1979,5,0
1979,6,0
1979,7,0.038
1979,8,0.043
1979,9,0.536
1979,10,0
1979,11,0.015
1979,12,0
1983,1,0.057
1983,2,0.204
1983,3,0.108
1983,4,0
1983,5,0
1983,6,0
1983,7,0.026
1983,8,0.091
1983,9,0.497
1983,10,0
1983,11,0.011
1983,12,0.005
1987,1,0.026
1987,2,0.184
1987,3,0.102
1987,4,0
1987,5,0
1987,6,0
1987,7,0.046
1987,8,0.073
1987,9,0.551
1987,10,0
1987,11,0.005
1987,12,0.012
1991,1,0.053
1991,2,0.18
1991,3,0.097
1991,4,0
1991,5,0
1991,6,0
1991,7,0.031
1991,8,0.034
1991,9,0.549
1991,10,0
1991,11,0.018
1991,12,0.038
1995,1,0.073
1995,2,0.141
1995,3,0.055
1995,4,0
1995,5,0
1995,6,0
1995,7,0.02
1995,8,0.086
1995,9,0.521
1995,10,0
1995,11,0.049
1995,12,0.055
1999,1,0.058
1999,2,0.154
1999,3,0.033
1999,4,0
1999,5,0
1999,6,0
1999,7,0.027
1999,8,0.044
1999,9,0.544
1999,10,0
1999,11,0.115
1999,12,0.026
2003,1,0.072
2003,2,0.209
2003,3,0.096
2003,4,0.016
2003,5,0
2003,6,0
2003,7,0.008
2003,8,0.047
2003,9,0.35
2003,10,0
2003,11,0.195
2003,12,0.008
2007,1,0.061
2007,2,0.162
2007,3,0.116
2007,4,0.007
2007,5,0
2007,6,0
2007,7,0.03
2007,8,0.041
2007,9,0.313
2007,10,0
2007,11,0.247
2007,12,0.023
2011,1,0.006
2011,2,0.165
2011,3,0.113
2011,4,0.007
2011,5,0.047
2011,6,0.007
2011,7,0.007
2011,8,0.085
2011,9,0.328
2011,10,0
2011,11,0.217
2011,12,0.017
2015,1,0.019
2015,2,0.141
2015,3,0.089
2015,4,0.013
2015,5,0.036
2015,6,0.009
2015,7,0.024
2015,8,0.042
2015,9,0.423
2015,10,0
2015,11,0.193
2015,12,0.012
