year,party,support
1975,1,0.026
1975,2,0.241
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0
1975,8,0
1975,9,0.49
1975,10,0
1975,11,0.171
1975,12,0.072
1979,1,0.021
1979,2,0.148
1979,3,0.033
1979,4,0
1979,5,0
1979,6,0
1979,7,0.013
1979,8,0.005
1979,9,0.625
1979,10,0
1979,11,0.154
1979,12,0
1983,1,0.001
1983,2,0.183
1983,3,0.008
1983,4,0
1983,5,0
1983,6,0
1983,7,0.018
1983,8,0
1983,9,0.725
1983,10,0
1983,11,0.064
1983,12,0
1987,1,0.072
1987,2,0.089
1987,3,0.056
1987,4,0
1987,5,0
1987,6,0
1987,7,0.052
1987,8,0.001
1987,9,0.619
1987,10,0
1987,11,0.11
1987,12,0
1991,1,0.024
1991,2,0.21
1991,3,0.033
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0.008
1991,9,0.517
1991,10,0
1991,11,0.151
1991,12,0.057
1995,1,0.064
1995,2,0.255
1995,3,0.004
1995,4,0
1995,5,0
1995,6,0
1995,7,0.025
1995,8,0.058
1995,9,0.471
1995,10,0
1995,11,0.102
1995,12,0.021
1999,1,0.07
1999,2,0.237
1999,3,0.037
1999,4,0
1999,5,0
1999,6,0
1999,7,0.046
1999,8,0.004
1999,9,0.47
1999,10,0
1999,11,0.117
1999,12,0.019
2003,1,0.105
2003,2,0.238
2003,3,0.054
2003,4,0
2003,5,0
2003,6,0
2003,7,0.003
2003,8,0.015
2003,9,0.31
2003,10,0
2003,11,0.248
2003,12,0.027
2007,1,0.058
2007,2,0.196
2007,3,0.119
2007,4,0.017
2007,5,0
2007,6,0
2007,7,0.024
2007,8,0.014
2007,9,0.208
2007,10,0
2007,11,0.313
2007,12,0.051
2011,1,0.016
2011,2,0.233
2011,3,0.098
2011,4,0.037
2011,5,0.052
2011,6,0.001
2011,7,0.01
2011,8,0.007
2011,9,0.185
2011,10,0
2011,11,0.317
2011,12,0.043
2015,1,0.029
2015,2,0.204
2015,3,0.082
2015,4,0.008
2015,5,0.033
2015,6,0.029
2015,7,0.002
2015,8,0.004
2015,9,0.231
2015,10,0
2015,11,0.366
2015,12,0.013
