year,party,support
1975,1,0
1975,2,0.105
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0.002
1975,8,0.776
1975,9,0.115
1975,10,0
1975,11,0.002
1975,12,0
1979,1,0
1979,2,0.262
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0
1979,8,0.612
1979,9,0.119
1979,10,0
1979,11,0.008
1979,12,0
1983,1,0
1983,2,0.21
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0.139
1983,8,0.527
1983,9,0.113
1983,10,0
1983,11,0.011
1983,12,0
1987,1,0.014
1987,2,0.165
1987,3,0.045
1987,4,0
1987,5,0
1987,6,0
1987,7,0.168
1987,8,0.521
1987,9,0.079
1987,10,0
1987,11,0.008
1987,12,0
1991,1,0
1991,2,0.158
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0.298
1991,8,0.453
1991,9,0.059
1991,10,0
1991,11,0.017
1991,12,0.015
1995,1,0.001
1995,2,0.199
1995,3,0.026
1995,4,0
1995,5,0
1995,6,0
1995,7,0.312
1995,8,0.343
1995,9,0.06
1995,10,0
1995,11,0.042
1995,12,0.016
1999,1,0
1999,2,0.181
1999,3,0
1999,4,0
1999,5,0
1999,6,0
1999,7,0.368
1999,8,0.303
1999,9,0.058
1999,10,0
1999,11,0.09
1999,12,0
2003,1,0
2003,2,0.156
2003,3,0.048
2003,4,0.003
2003,5,0
2003,6,0
2003,7,0.331
2003,8,0.231
2003,9,0.078
2003,10,0
2003,11,0.148
2003,12,0.005
2007,1,0
2007,2,0.14
2007,3,0.051
2007,4,0.003
2007,5,0
2007,6,0
2007,7,0.243
2007,8,0.289
2007,9,0.096
2007,10,0
2007,11,0.173
2007,12,0.003
2011,1,0
2011,2,0.196
2011,3,0.043
2011,4,0.003
2011,5,0.036
2011,6,0.017
2011,7,0.167
2011,8,0.26
2011,9,0.07
2011,10,0
2011,11,0.205
2011,12,0.005
2015,1,0
2015,2,0.224
2015,3,0.052
2015,4,0.003
2015,5,0.039
2015,6,0.006
2015,7,0.036
2015,8,0.277
2015,9,0.081
2015,10,0
2015,11,0.28
2015,12,0.003
