year,party,support
1975,1,0.014
1975,2,0.151
1975,3,0
1975,4,0.033
1975,5,0
1975,6,0
1975,7,0
1975,8,0
1975,9,0.019
1975,10,0
1975,11,0.77
1975,12,0.013
1979,1,0.009
1979,2,0.184
1979,3,0
1979,4,0.04
1979,5,0
1979,6,0
1979,7,0.004
1979,8,0
1979,9,0.02
1979,10,0
1979,11,0.733
1979,12,0.013
1983,1,0.046
1983,2,0.237
1983,3,0
1983,4,0.057
1983,5,0
1983,6,0
1983,7,0.004
1983,8,0.001
1983,9,0.018
1983,10,0
1983,11,0.631
1983,12,0.007
1987,1,0.006
1987,2,0.091
1987,3,0.053
1987,4,0.018
1987,5,0
1987,6,0
1987,7,0.037
1987,8,0.002
1987,9,0.047
1987,10,0
1987,11,0.691
1987,12,0.055
1991,1,0.004
1991,2,0.083
1991,3,0.063
1991,4,0.026
1991,5,0
1991,6,0
1991,7,0.012
1991,8,0.001
1991,9,0.054
1991,10,0
1991,11,0.619
1991,12,0.138
1995,1,0.015
1995,2,0.095
1995,3,0.022
1995,4,0.028
1995,5,0
1995,6,0
1995,7,0.015
1995,8,0
1995,9,0.097
1995,10,0
1995,11,0.629
1995,12,0.1
1999,1,0
1999,2,0.099
1999,3,0.029
1999,4,0.068
1999,5,0
1999,6,0
1999,7,0.01
1999,8,0.013
1999,9,0.116
1999,10,0
1999,11,0.57
1999,12,0.094
2003,1,0
2003,2,0.144
2003,3,0.025
2003,4,0.109
2003,5,0
2003,6,0
2003,7,0.002
2003,8,0.004
2003,9,0.092
2003,10,0
2003,11,0.588
2003,12,0.036
2007,1,0
2007,2,0.078
2007,3,0.074
2007,4,0.131
2007,5,0
2007,6,0
2007,7,0.002
2007,8,0.017
2007,9,0.069
2007,10,0
2007,11,0.615
2007,12,0.016
2011,1,0
2011,2,0.065
2011,3,0.026
2011,4,0.041
2011,5,0.04
2011,6,0.144
2011,7,0.025
2011,8,0.001
2011,9,0.042
2011,10,0
2011,11,0.581
2011,12,0.034
2015,1,0
2015,2,0.069
2015,3,0.034
2015,4,0.042
2015,5,0.027
2015,6,0.179
2015,7,0.009
2015,8,0.006
2015,9,0.058
2015,10,0
2015,11,0.531
2015,12,0.045
