year,party,support
1975,1,0.065
1975,2,0.189
1975,3,0.001
1975,4,0
1975,5,0
1975,6,0
1975,7,0.016
1975,8,0.031
1975,9,0.598
1975,10,0
1975,11,0.084
1975,12,0.017
1979,1,0.044
1979,2,0.134
1979,3,0.083
1979,4,0
1979,5,0
1979,6,0
1979,7,0.041
1979,8,0.022
1979,9,0.617
1979,10,0
1979,11,0.059
1979,12,0
1983,1,0.058
1983,2,0.127
1983,3,0.071
1983,4,0
1983,5,0
1983,6,0
1983,7,0.012
1983,8,0.019
1983,9,0.621
1983,10,0
1983,11,0.083
1983,12,0.011
1987,1,0.051
1987,2,0.109
1987,3,0.083
1987,4,0
1987,5,0
1987,6,0
1987,7,0.013
1987,8,0.04
1987,9,0.621
1987,10,0
1987,11,0.053
1987,12,0.028
1991,1,0.07
1991,2,0.153
1991,3,0.046
1991,4,0
1991,5,0
1991,6,0
1991,7,0.013
1991,8,0.013
1991,9,0.565
1991,10,0
1991,11,0.106
1991,12,0.034
1995,1,0.074
1995,2,0.202
1995,3,0.033
1995,4,0
1995,5,0
1995,6,0
1995,7,0.035
1995,8,0.034
1995,9,0.469
1995,10,0
1995,11,0.101
1995,12,0.053
1999,1,0.067
1999,2,0.194
1999,3,0.059
1999,4,0
1999,5,0
1999,6,0
1999,7,0.049
1999,8,0.031
1999,9,0.444
1999,10,0
1999,11,0.134
1999,12,0.024
2003,1,0.062
2003,2,0.191
2003,3,0.107
2003,4,0.002
2003,5,0
2003,6,0
2003,7,0.004
2003,8,0.036
2003,9,0.349
2003,10,0
2003,11,0.221
2003,12,0.027
2007,1,0.039
2007,2,0.163
2007,3,0.116
2007,4,0.012
2007,5,0
2007,6,0
2007,7,0.039
2007,8,0.042
2007,9,0.288
2007,10,0
2007,11,0.289
2007,12,0.011
2011,1,0.011
2011,2,0.191
2011,3,0.094
2011,4,0.014
2011,5,0.057
2011,6,0.009
2011,7,0.005
2011,8,0.053
2011,9,0.269
2011,10,0
2011,11,0.281
2011,12,0.016
2015,1,0.01
2015,2,0.158
2015,3,0.09
2015,4,0.005
2015,5,0.049
2015,6,0.018
2015,7,0.017
2015,8,0.031
2015,9,0.345
2015,10,0
2015,11,0.277
2015,12,0
