year,party,support
1975,1,0
1975,2,0.281
1975,3,0
1975,4,0.001
1975,5,0
1975,6,0
1975,7,0.14
1975,8,0.024
1975,9,0.33
1975,10,0
1975,11,0.219
1975,12,0.005
1979,1,0.006
1979,2,0.278
1979,3,0
1979,4,0.006
1979,5,0
1979,6,0
1979,7,0.19
1979,8,0.001
1979,9,0.288
1979,10,0
1979,11,0.205
1979,12,0.027
1983,1,0.001
1983,2,0.217
1983,3,0
1983,4,0.005
1983,5,0
1983,6,0
1983,7,0.186
1983,8,0.002
1983,9,0.263
1983,10,0
1983,11,0.283
1983,12,0.044
1987,1,0.041
1987,2,0.197
1987,3,0.028
1987,4,0.007
1987,5,0
1987,6,0
1987,7,0.057
1987,8,0.001
1987,9,0.275
1987,10,0
1987,11,0.327
1987,12,0.068
1991,1,0.018
1991,2,0.154
1991,3,0.01
1991,4,0.006
1991,5,0
1991,6,0
1991,7,0.135
1991,8,0.001
1991,9,0.226
1991,10,0
1991,11,0.319
1991,12,0.129
1995,1,0.039
1995,2,0.152
1995,3,0.018
1995,4,0.006
1995,5,0
1995,6,0
1995,7,0.112
1995,8,0
1995,9,0.305
1995,10,0
1995,11,0.313
1995,12,0.055
1999,1,0
1999,2,0.264
1999,3,0.1
1999,4,0.016
1999,5,0
1999,6,0
1999,7,0.028
1999,8,0.044
1999,9,0.157
1999,10,0
1999,11,0.358
1999,12,0.032
2003,1,0
2003,2,0.165
2003,3,0.09
2003,4,0.022
2003,5,0
2003,6,0
2003,7,0.25
2003,8,0
2003,9,0.095
2003,10,0
2003,11,0.329
2003,12,0.05
2007,1,0
2007,2,0.178
2007,3,0.211
2007,4,0.033
2007,5,0
2007,6,0
2007,7,0.001
2007,8,0.024
2007,9,0.098
2007,10,0
2007,11,0.429
2007,12,0.027
2011,1,0.007
2011,2,0.238
2011,3,0.143
2011,4,0.065
2011,5,0.006
2011,6,0.113
2011,7,0.057
2011,8,0.021
2011,9,0.041
2011,10,0
2011,11,0.296
2011,12,0.012
2015,1,0.014
2015,2,0.203
2015,3,0.167
2015,4,0.039
2015,5,0.003
2015,6,0.164
2015,7,0.002
2015,8,0.008
2015,9,0.045
2015,10,0
2015,11,0.345
2015,12,0.011
