year,party,support
1975,1,0.072
1975,2,0.133
1975,3,0.001
1975,4,0
1975,5,0
1975,6,0
1975,7,0.021
1975,8,0.026
1975,9,0.517
1975,10,0
1975,11,0.154
1975,12,0.075
1979,1,0.028
1979,2,0.18
1979,3,0.036
1979,4,0
1979,5,0
1979,6,0
1979,7,0.007
1979,8,0.023
1979,9,0.591
1979,10,0
1979,11,0.133
1979,12,0
1983,1,0.066
1983,2,0.171
1983,3,0.017
1983,4,0
1983,5,0
1983,6,0
1983,7,0.013
1983,8,0.011
1983,9,0.606
1983,10,0
1983,11,0.113
1983,12,0.002
1987,1,0.057
1987,2,0.15
1987,3,0.06
1987,4,0
1987,5,0
1987,6,0
1987,7,0.025
1987,8,0.013
1987,9,0.406
1987,10,0
1987,11,0.273
1987,12,0.015
1991,1,0.071
1991,2,0.142
1991,3,0.046
1991,4,0
1991,5,0
1991,6,0
1991,7,0.014
1991,8,0.004
1991,9,0.42
1991,10,0
1991,11,0.265
1991,12,0.039
1995,1,0.072
1995,2,0.157
1995,3,0.014
1995,4,0
1995,5,0
1995,6,0
1995,7,0.022
1995,8,0.027
1995,9,0.37
1995,10,0
1995,11,0.28
1995,12,0.059
1999,1,0.068
1999,2,0.166
1999,3,0.054
1999,4,0
1999,5,0
1999,6,0
1999,7,0.032
1999,8,0.009
1999,9,0.407
1999,10,0
1999,11,0.206
1999,12,0.058
2003,1,0.081
2003,2,0.202
2003,3,0.132
2003,4,0.002
2003,5,0
2003,6,0
2003,7,0.009
2003,8,0.021
2003,9,0.339
2003,10,0
2003,11,0.196
2003,12,0.018
2007,1,0.049
2007,2,0.22
2007,3,0.166
2007,4,0.005
2007,5,0
2007,6,0
2007,7,0.018
2007,8,0.022
2007,9,0.259
2007,10,0
2007,11,0.231
2007,12,0.028
2011,1,0.02
2011,2,0.215
2011,3,0.118
2011,4,0.02
2011,5,0.041
2011,6,0.003
2011,7,0.011
2011,8,0.024
2011,9,0.224
2011,10,0
2011,11,0.301
2011,12,0.024
2015,1,0.018
2015,2,0.197
2015,3,0.103
2015,4,0.003
2015,5,0.027
2015,6,0.009
2015,7,0.036
2015,8,0.012
2015,9,0.265
2015,10,0
2015,11,0.325
2015,12,0.005
