year,party,support
1975,1,0.034
1975,2,0.117
1975,3,0.004
1975,4,0
1975,5,0
1975,6,0
1975,7,0.003
1975,8,0.008
1975,9,0.299
1975,10,0
1975,11,0.427
1975,12,0.107
1979,1,0.023
1979,2,0.111
1979,3,0.123
1979,4,0
1979,5,0
1979,6,0
1979,7,0.007
1979,8,0.007
1979,9,0.312
1979,10,0
1979,11,0.417
1979,12,0
1983,1,0.019
1983,2,0.068
1983,3,0.131
1983,4,0
1983,5,0
1983,6,0
1983,7,0.012
1983,8,0.001
1983,9,0.307
1983,10,0
1983,11,0.461
1983,12,0
1987,1,0.027
1987,2,0.081
1987,3,0.087
1987,4,0
1987,5,0
1987,6,0
1987,7,0.004
1987,8,0.002
1987,9,0.27
1987,10,0
1987,11,0.508
1987,12,0.022
1991,1,0.039
1991,2,0.151
1991,3,0.027
1991,4,0
1991,5,0
1991,6,0
1991,7,0.011
1991,8,0
1991,9,0.325
1991,10,0
1991,11,0.445
1991,12,0.003
1995,1,0.099
1995,2,0.066
1995,3,0.046
1995,4,0
1995,5,0
1995,6,0
1995,7,0.007
1995,8,0.053
1995,9,0.261
1995,10,0
1995,11,0.459
1995,12,0.008
1999,1,0.054
1999,2,0.146
1999,3,0.041
1999,4,0
1999,5,0
1999,6,0
1999,7,0.018
1999,8,0.004
1999,9,0.344
1999,10,0
1999,11,0.355
1999,12,0.039
2003,1,0.059
2003,2,0.111
2003,3,0.137
2003,4,0.011
2003,5,0
2003,6,0
2003,7,0.001
2003,8,0.042
2003,9,0.224
2003,10,0
2003,11,0.39
2003,12,0.026
2007,1,0.07
2007,2,0.178
2007,3,0.157
2007,4,0.002
2007,5,0
2007,6,0
2007,7,0.025
2007,8,0.037
2007,9,0.245
2007,10,0
2007,11,0.282
2007,12,0.004
2011,1,0.015
2011,2,0.203
2011,3,0.168
2011,4,0.001
2011,5,0.064
2011,6,0.024
2011,7,0.001
2011,8,0.008
2011,9,0.259
2011,10,0
2011,11,0.256
2011,12,0.002
2015,1,0.014
2015,2,0.172
2015,3,0.089
2015,4,0.012
2015,5,0.015
2015,6,0.028
2015,7,0.081
2015,8,0.016
2015,9,0.271
2015,10,0
2015,11,0.291
2015,12,0.012
