year,party,support
1975,1,0
1975,2,0.25
1975,3,0
1975,4,0.024
1975,5,0
1975,6,0
1975,7,0.052
1975,8,0.02
1975,9,0.29
1975,10,0
1975,11,0.329
1975,12,0.035
1979,1,0.028
1979,2,0.23
1979,3,0
1979,4,0.023
1979,5,0
1979,6,0
1979,7,0.03
1979,8,0.024
1979,9,0.335
1979,10,0
1979,11,0.304
1979,12,0.028
1983,1,0.036
1983,2,0.215
1983,3,0
1983,4,0.022
1983,5,0
1983,6,0
1983,7,0.105
1983,8,0.023
1983,9,0.239
1983,10,0
1983,11,0.308
1983,12,0.05
1987,1,0.021
1987,2,0.203
1987,3,0.107
1987,4,0.026
1987,5,0
1987,6,0
1987,7,0.074
1987,8,0.029
1987,9,0.254
1987,10,0
1987,11,0.221
1987,12,0.064
1991,1,0.016
1991,2,0.195
1991,3,0.111
1991,4,0.032
1991,5,0
1991,6,0
1991,7,0.051
1991,8,0.027
1991,9,0.212
1991,10,0
1991,11,0.204
1991,12,0.152
1995,1,0.024
1995,2,0.229
1995,3,0.062
1995,4,0.048
1995,5,0
1995,6,0
1995,7,0.036
1995,8,0.025
1995,9,0.242
1995,10,0
1995,11,0.186
1995,12,0.146
1999,1,0
1999,2,0.257
1999,3,0.064
1999,4,0.047
1999,5,0
1999,6,0
1999,7,0.028
1999,8,0.026
1999,9,0.261
1999,10,0
1999,11,0.237
1999,12,0.08
2003,1,0
2003,2,0.259
2003,3,0.095
2003,4,0.056
2003,5,0
2003,6,0
2003,7,0.013
2003,8,0.037
2003,9,0.242
2003,10,0
2003,11,0.242
2003,12,0.057
2007,1,0
2007,2,0.2
2007,3,0.104
2007,4,0.047
2007,5,0
2007,6,0
2007,7,0.019
2007,8,0.072
2007,9,0.224
2007,10,0
2007,11,0.297
2007,12,0.037
2011,1,0.001
2011,2,0.173
2011,3,0.073
2011,4,0.038
2011,5,0.052
2011,6,0.245
2011,7,0.032
2011,8,0.027
2011,9,0.135
2011,10,0
2011,11,0.203
2011,12,0.022
2015,1,0.002
2015,2,0.167
2015,3,0.06
2015,4,0.037
2015,5,0.058
2015,6,0.211
2015,7,0.017
2015,8,0.026
2015,9,0.158
2015,10,0
2015,11,0.253
2015,12,0.011
