year,party,support
1975,1,0.003
1975,2,0.424
1975,3,0
1975,4,0.005
1975,5,0
1975,6,0
1975,7,0.104
1975,8,0.044
1975,9,0.293
1975,10,0
1975,11,0.114
1975,12,0.015
1979,1,0.005
1979,2,0.431
1979,3,0
1979,4,0.004
1979,5,0
1979,6,0
1979,7,0.206
1979,8,0.001
1979,9,0.233
1979,10,0
1979,11,0.099
1979,12,0.019
1983,1,0.02
1983,2,0.375
1983,3,0
1983,4,0.003
1983,5,0
1983,6,0
1983,7,0.189
1983,8,0.001
1983,9,0.27
1983,10,0
1983,11,0.118
1983,12,0.023
1987,1,0.027
1987,2,0.329
1987,3,0.027
1987,4,0.003
1987,5,0
1987,6,0
1987,7,0.146
1987,8,0.001
1987,9,0.327
1987,10,0
1987,11,0.096
1987,12,0.044
1991,1,0.014
1991,2,0.235
1991,3,0.015
1991,4,0.003
1991,5,0
1991,6,0
1991,7,0.191
1991,8,0.001
1991,9,0.348
1991,10,0
1991,11,0.104
1991,12,0.09
1995,1,0.015
1995,2,0.275
1995,3,0.009
1995,4,0.006
1995,5,0
1995,6,0
1995,7,0.183
1995,8,0.002
1995,9,0.296
1995,10,0
1995,11,0.143
1995,12,0.071
1999,1,0
1999,2,0.381
1999,3,0.053
1999,4,0.012
1999,5,0
1999,6,0
1999,7,0.014
1999,8,0.085
1999,9,0.221
1999,10,0
1999,11,0.187
1999,12,0.046
2003,1,0
2003,2,0.26
2003,3,0.05
2003,4,0.013
2003,5,0
2003,6,0
2003,7,0.304
2003,8,0.004
2003,9,0.118
2003,10,0
2003,11,0.224
2003,12,0.027
2007,1,0
2007,2,0.286
2007,3,0.1
2007,4,0.019
2007,5,0
2007,6,0
2007,7,0.007
2007,8,0.033
2007,9,0.282
2007,10,0
2007,11,0.257
2007,12,0.016
2011,1,0.006
2011,2,0.264
2011,3,0.085
2011,4,0.025
2011,5,0.01
2011,6,0.042
2011,7,0.102
2011,8,0.02
2011,9,0.182
2011,10,0
2011,11,0.254
2011,12,0.01
2015,1,0.031
2015,2,0.287
2015,3,0.053
2015,4,0.026
2015,5,0.014
2015,6,0.038
2015,7,0.014
2015,8,0.025
2015,9,0.174
2015,10,0
2015,11,0.327
2015,12,0.011
