year,party,support
1975,1,0.032
1975,2,0.054
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0.001
1975,8,0.003
1975,9,0.297
1975,10,0
1975,11,0.583
1975,12,0.03
1979,1,0.023
1979,2,0.049
1979,3,0.025
1979,4,0
1979,5,0
1979,6,0
1979,7,0.006
1979,8,0.017
1979,9,0.192
1979,10,0
1979,11,0.689
1979,12,0
1983,1,0.051
1983,2,0.069
1983,3,0.061
1983,4,0
1983,5,0
1983,6,0
1983,7,0.002
1983,8,0.003
1983,9,0.174
1983,10,0
1983,11,0.629
1983,12,0.01
1987,1,0.031
1987,2,0.084
1987,3,0.033
1987,4,0
1987,5,0
1987,6,0
1987,7,0.002
1987,8,0.008
1987,9,0.197
1987,10,0
1987,11,0.612
1987,12,0.034
1991,1,0.003
1991,2,0.077
1991,3,0.065
1991,4,0
1991,5,0
1991,6,0
1991,7,0.028
1991,8,0.03
1991,9,0.196
1991,10,0
1991,11,0.555
1991,12,0.046
1995,1,0.082
1995,2,0.116
1995,3,0.003
1995,4,0
1995,5,0
1995,6,0
1995,7,0.039
1995,8,0.05
1995,9,0.23
1995,10,0
1995,11,0.414
1995,12,0.067
1999,1,0.028
1999,2,0.054
1999,3,0.043
1999,4,0
1999,5,0
1999,6,0
1999,7,0.035
1999,8,0.019
1999,9,0.421
1999,10,0
1999,11,0.349
1999,12,0.052
2003,1,0.069
2003,2,0.046
2003,3,0.063
2003,4,0.013
2003,5,0
2003,6,0
2003,7,0.002
2003,8,0.032
2003,9,0.364
2003,10,0
2003,11,0.411
2003,12,0
2007,1,0.048
2007,2,0.115
2007,3,0.065
2007,4,0.031
2007,5,0
2007,6,0
2007,7,0.053
2007,8,0.028
2007,9,0.249
2007,10,0
2007,11,0.411
2007,12,0
2011,1,0.052
2011,2,0.09
2011,3,0.064
2011,4,0.034
2011,5,0.056
2011,6,0.006
2011,7,0.001
2011,8,0.036
2011,9,0.276
2011,10,0
2011,11,0.374
2011,12,0.012
2015,1,0.048
2015,2,0.048
2015,3,0.087
2015,4,0.032
2015,5,0.032
2015,6,0.063
2015,7,0.036
2015,8,0.028
2015,9,0.229
2015,10,0
2015,11,0.392
2015,12,0.006
