year,party,support
1975,1,0.025
1975,2,0.397
1975,3,0
1975,4,0.041
1975,5,0
1975,6,0
1975,7,0.084
1975,8,0.051
1975,9,0.19
1975,10,0
1975,11,0.104
1975,12,0.107
1979,1,0.054
1979,2,0.38
1979,3,0
1979,4,0.035
1979,5,0
1979,6,0
1979,7,0.068
1979,8,0.044
1979,9,0.223
1979,10,0
1979,11,0.131
1979,12,0.064
1983,1,0.069
1983,2,0.319
1983,3,0
1983,4,0.033
1983,5,0
1983,6,0
1983,7,0.137
1983,8,0.04
1983,9,0.156
1983,10,0
1983,11,0.115
1983,12,0.131
1987,1,0.053
1987,2,0.261
1987,3,0.14
1987,4,0.032
1987,5,0
1987,6,0
1987,7,0.082
1987,8,0.04
1987,9,0.185
1987,10,0
1987,11,0.098
1987,12,0.109
1991,1,0.047
1991,2,0.262
1991,3,0.139
1991,4,0.031
1991,5,0
1991,6,0
1991,7,0.058
1991,8,0.042
1991,9,0.156
1991,10,0
1991,11,0.095
1991,12,0.171
1995,1,0.057
1995,2,0.337
1995,3,0.083
1995,4,0.033
1995,5,0
1995,6,0
1995,7,0.04
1995,8,0.035
1995,9,0.173
1995,10,0
1995,11,0.093
1995,12,0.15
1999,1,0
1999,2,0.379
1999,3,0.128
1999,4,0.029
1999,5,0
1999,6,0
1999,7,0.026
1999,8,0.036
1999,9,0.184
1999,10,0
1999,11,0.136
1999,12,0.081
2003,1,0
2003,2,0.382
2003,3,0.182
2003,4,0.034
2003,5,0
2003,6,0
2003,7,0.01
2003,8,0.039
2003,9,0.158
2003,10,0
2003,11,0.145
2003,12,0.051
2007,1,0
2007,2,0.291
2007,3,0.249
2007,4,0.035
2007,5,0
2007,6,0
2007,7,0.011
2007,8,0.063
2007,9,0.157
2007,10,0
2007,11,0.167
2007,12,0.027
2011,1,0.01
2011,2,0.305
2011,3,0.195
2011,4,0.026
2011,5,0.082
2011,6,0.089
2011,7,0.038
2011,8,0.03
2011,9,0.09
2011,10,0
2011,11,0.121
2011,12,0.014
2015,1,0.014
2015,2,0.343
2015,3,0.174
2015,4,0.027
2015,5,0.094
2015,6,0.07
2015,7,0.018
2015,8,0.026
2015,9,0.099
2015,10,0
2015,11,0.124
2015,12,0.01
