year,party,support
1975,1,0.006
1975,2,0.093
1975,3,0
1975,4,0.083
1975,5,0
1975,6,0
1975,7,0.034
1975,8,0.012
1975,9,0.036
1975,10,0
1975,11,0.671
1975,12,0.065
1979,1,0.03
1979,2,0.106
1979,3,0
1979,4,0.087
1979,5,0
1979,6,0
1979,7,0.018
1979,8,0.001
1979,9,0.062
1979,10,0
1979,11,0.627
1979,12,0.069
1983,1,0.012
1983,2,0.131
1983,3,0
1983,4,0.053
1983,5,0
1983,6,0
1983,7,0.024
1983,8,0
1983,9,0.036
1983,10,0
1983,11,0.594
1983,12,0.149
1987,1,0.01
1987,2,0.1
1987,3,0.053
1987,4,0.056
1987,5,0
1987,6,0
1987,7,0.038
1987,8,0.002
1987,9,0.047
1987,10,0
1987,11,0.469
1987,12,0.227
1991,1,0.017
1991,2,0.099
1991,3,0.053
1991,4,0.037
1991,5,0
1991,6,0
1991,7,0.037
1991,8,0.009
1991,9,0.051
1991,10,0
1991,11,0.491
1991,12,0.205
1995,1,0.012
1995,2,0.115
1995,3,0.028
1995,4,0.041
1995,5,0
1995,6,0
1995,7,0.017
1995,8,0.006
1995,9,0.058
1995,10,0
1995,11,0.448
1995,12,0.273
1999,1,0
1999,2,0.128
1999,3,0.038
1999,4,0.071
1999,5,0
1999,6,0
1999,7,0.011
1999,8,0.012
1999,9,0.084
1999,10,0
1999,11,0.49
1999,12,0.164
2003,1,0
2003,2,0.152
2003,3,0.051
2003,4,0.072
2003,5,0
2003,6,0
2003,7,0.025
2003,8,0.016
2003,9,0.049
2003,10,0
2003,11,0.429
2003,12,0.206
2007,1,0
2007,2,0.119
2007,3,0.084
2007,4,0.08
2007,5,0
2007,6,0
2007,7,0.009
2007,8,0.025
2007,9,0.044
2007,10,0
2007,11,0.46
2007,12,0.179
2011,1,0.001
2011,2,0.081
2011,3,0.049
2011,4,0.042
2011,5,0.04
2011,6,0.132
2011,7,0.042
2011,8,0.005
2011,9,0.027
2011,10,0
2011,11,0.436
2011,12,0.144
2015,1,0.001
2015,2,0.079
2015,3,0.055
2015,4,0.059
2015,5,0.029
2015,6,0.096
2015,7,0.021
2015,8,0.013
2015,9,0.032
2015,10,0
2015,11,0.465
2015,12,0.149
