year,party,support
1975,1,0.013
1975,2,0.06
1975,3,0
1975,4,0.011
1975,5,0
1975,6,0
1975,7,0.03
1975,8,0.445
1975,9,0.031
1975,10,0
1975,11,0.296
1975,12,0.113
1979,1,0
1979,2,0.124
1979,3,0
1979,4,0.001
1979,5,0
1979,6,0
1979,7,0.024
1979,8,0.428
1979,9,0.043
1979,10,0
1979,11,0.292
1979,12,0.087
1983,1,0
1983,2,0.148
1983,3,0
1983,4,0.01
1983,5,0
1983,6,0
1983,7,0.079
1983,8,0.36
1983,9,0.038
1983,10,0
1983,11,0.297
1983,12,0.068
1987,1,0.067
1987,2,0.099
1987,3,0
1987,4,0.002
1987,5,0
1987,6,0
1987,7,0.042
1987,8,0.324
1987,9,0.095
1987,10,0
1987,11,0.288
1987,12,0.083
1991,1,0
1991,2,0.131
1991,3,0.042
1991,4,0.002
1991,5,0
1991,6,0
1991,7,0.071
1991,8,0.215
1991,9,0.056
1991,10,0
1991,11,0.278
1991,12,0.206
1995,1,0.001
1995,2,0.153
1995,3,0.05
1995,4,0.016
1995,5,0
1995,6,0
1995,7,0.046
1995,8,0.224
1995,9,0.064
1995,10,0
1995,11,0.304
1995,12,0.143
1999,1,0
1999,2,0.167
1999,3,0.028
1999,4,0.014
1999,5,0
1999,6,0
1999,7,0.019
1999,8,0.231
1999,9,0.063
1999,10,0
1999,11,0.391
1999,12,0.086
2003,1,0.031
2003,2,0.162
2003,3,0.034
2003,4,0.024
2003,5,0
2003,6,0
2003,7,0.01
2003,8,0.208
2003,9,0.068
2003,10,0
2003,11,0.459
2003,12,0.004
2007,1,0
2007,2,0.131
2007,3,0.087
2007,4,0.005
2007,5,0
2007,6,0
2007,7,0.035
2007,8,0.13
2007,9,0.09
2007,10,0
2007,11,0.488
2007,12,0.033
2011,1,0
2011,2,0.162
2011,3,0.108
2011,4,0.026
2011,5,0.026
2011,6,0.055
2011,7,0.013
2011,8,0.13
2011,9,0.084
2011,10,0
2011,11,0.382
2011,12,0.014
2015,1,0
2015,2,0.128
2015,3,0.026
2015,4,0.029
2015,5,0.022
2015,6,0.056
2015,7,0.008
2015,8,0.142
2015,9,0.109
2015,10,0
2015,11,0.475
2015,12,0.006
