year,party,support
1975,1,0
1975,2,0.33
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0.001
1975,8,0.023
1975,9,0.645
1975,10,0
1975,11,0
1975,12,0
1979,1,0.03
1979,2,0.312
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0
1979,8,0.077
1979,9,0.581
1979,10,0
1979,11,0
1979,12,0
1983,1,0.04
1983,2,0.273
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0.013
1983,8,0.025
1983,9,0.648
1983,10,0
1983,11,0
1983,12,0
1987,1,0.001
1987,2,0.164
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0.074
1987,8,0.094
1987,9,0.65
1987,10,0
1987,11,0
1987,12,0.017
1991,1,0
1991,2,0.166
1991,3,0.044
1991,4,0.008
1991,5,0
1991,6,0
1991,7,0.063
1991,8,0.054
1991,9,0.585
1991,10,0
1991,11,0
1991,12,0.081
1995,1,0
1995,2,0.282
1995,3,0.038
1995,4,0
1995,5,0
1995,6,0
1995,7,0.025
1995,8,0.071
1995,9,0.337
1995,10,0
1995,11,0.135
1995,12,0.112
1999,1,0
1999,2,0.347
1999,3,0.039
1999,4,0
1999,5,0
1999,6,0
1999,7,0.018
1999,8,0.05
1999,9,0.378
1999,10,0
1999,11,0.154
1999,12,0.015
2003,1,0
2003,2,0.312
2003,3,0.062
2003,4,0
2003,5,0
2003,6,0
2003,7,0
2003,8,0.056
2003,9,0.375
2003,10,0
2003,11,0.195
2003,12,0
2007,1,0
2007,2,0.226
2007,3,0.085
2007,4,0.002
2007,5,0
2007,6,0
2007,7,0
2007,8,0.102
2007,9,0.308
2007,10,0
2007,11,0.274
2007,12,0.004
2011,1,0
2011,2,0.197
2011,3,0.075
2011,4,0.003
2011,5,0.024
2011,6,0.064
2011,7,0.046
2011,8,0.063
2011,9,0.265
2011,10,0
2011,11,0.262
2011,12,0
2015,1,0
2015,2,0.166
2015,3,0.044
2015,4,0.006
2015,5,0.031
2015,6,0.088
2015,7,0.012
2015,8,0.044
2015,9,0.324
2015,10,0
2015,11,0.284
2015,12,0
