year,party,support
1975,1,0.006
1975,2,0.059
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0.037
1975,8,0.483
1975,9,0.388
1975,10,0
1975,11,0.004
1975,12,0.022
1979,1,0.01
1979,2,0.109
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0.051
1979,8,0.44
1979,9,0.357
1979,10,0
1979,11,0.032
1979,12,0.002
1983,1,0.026
1983,2,0.135
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0.36
1983,8,0.251
1983,9,0.205
1983,10,0
1983,11,0.019
1983,12,0.003
1987,1,0.015
1987,2,0.274
1987,3,0.043
1987,4,0.001
1987,5,0
1987,6,0
1987,7,0.028
1987,8,0.358
1987,9,0.237
1987,10,0
1987,11,0.023
1987,12,0.021
1991,1,0.074
1991,2,0.101
1991,3,0.071
1991,4,0
1991,5,0
1991,6,0
1991,7,0.015
1991,8,0.299
1991,9,0.197
1991,10,0
1991,11,0.133
1991,12,0.11
1995,1,0
1995,2,0.168
1995,3,0.051
1995,4,0
1995,5,0
1995,6,0
1995,7,0.067
1995,8,0.33
1995,9,0.202
1995,10,0
1995,11,0.081
1995,12,0.1
1999,1,0
1999,2,0.214
1999,3,0.074
1999,4,0.004
1999,5,0
1999,6,0
1999,7,0.008
1999,8,0.304
1999,9,0.076
1999,10,0
1999,11,0.205
1999,12,0.115
2003,1,0
2003,2,0.132
2003,3,0.123
2003,4,0.001
2003,5,0
2003,6,0
2003,7,0.002
2003,8,0.249
2003,9,0.123
2003,10,0
2003,11,0.308
2003,12,0.062
2007,1,0
2007,2,0.156
2007,3,0.099
2007,4,0.008
2007,5,0
2007,6,0
2007,7,0
2007,8,0.111
2007,9,0.124
2007,10,0
2007,11,0.476
2007,12,0.026
2011,1,0
2011,2,0.179
2011,3,0.117
2011,4,0.003
2011,5,0.029
2011,6,0.045
2011,7,0
2011,8,0.09
2011,9,0.114
2011,10,0
2011,11,0.396
2011,12,0.027
2015,1,0
2015,2,0.107
2015,3,0.127
2015,4,0.015
2015,5,0.008
2015,6,0.035
2015,7,0.009
2015,8,0.163
2015,9,0.102
2015,10,0
2015,11,0.434
2015,12,0
