year,party,support
1975,1,0.007
1975,2,0.164
1975,3,0.003
1975,4,0
1975,5,0
1975,6,0
1975,7,0.001
1975,8,0
1975,9,0.57
1975,10,0
1975,11,0.248
1975,12,0.007
1979,1,0.008
1979,2,0.095
1979,3,0.036
1979,4,0
1979,5,0
1979,6,0
1979,7,0
1979,8,0.023
1979,9,0.643
1979,10,0
1979,11,0.196
1979,12,0
1983,1,0.053
1983,2,0.043
1983,3,0.092
1983,4,0
1983,5,0
1983,6,0
1983,7,0
1983,8,0.013
1983,9,0.607
1983,10,0
1983,11,0.192
1983,12,0
1987,1,0.018
1987,2,0.074
1987,3,0.04
1987,4,0
1987,5,0
1987,6,0
1987,7,0.001
1987,8,0.021
1987,9,0.668
1987,10,0
1987,11,0.179
1987,12,0
1991,1,0.043
1991,2,0.107
1991,3,0.073
1991,4,0
1991,5,0
1991,6,0
1991,7,0.03
1991,8,0.011
1991,9,0.607
1991,10,0
1991,11,0.123
1991,12,0.007
1995,1,0.083
1995,2,0.11
1995,3,0.022
1995,4,0
1995,5,0
1995,6,0
1995,7,0.042
1995,8,0.048
1995,9,0.502
1995,10,0
1995,11,0.176
1995,12,0.016
1999,1,0.138
1999,2,0.161
1999,3,0.06
1999,4,0
1999,5,0
1999,6,0
1999,7,0.034
1999,8,0.031
1999,9,0.437
1999,10,0
1999,11,0.135
1999,12,0.004
2003,1,0.072
2003,2,0.239
2003,3,0.09
2003,4,0.001
2003,5,0
2003,6,0
2003,7,0.002
2003,8,0.044
2003,9,0.366
2003,10,0
2003,11,0.181
2003,12,0.005
2007,1,0.102
2007,2,0.165
2007,3,0.141
2007,4,0.002
2007,5,0
2007,6,0
2007,7,0.052
2007,8,0.044
2007,9,0.273
2007,10,0
2007,11,0.22
2007,12,0.002
2011,1,0.029
2011,2,0.271
2011,3,0.133
2011,4,0.003
2011,5,0.036
2011,6,0.001
2011,7,0.012
2011,8,0.032
2011,9,0.264
2011,10,0
2011,11,0.213
2011,12,0.007
2015,1,0.006
2015,2,0.208
2015,3,0.098
2015,4,0.003
2015,5,0.036
2015,6,0.029
2015,7,0.001
2015,8,0.069
2015,9,0.26
2015,10,0
2015,11,0.289
2015,12,0
