year,party,support
1975,1,0.031
1975,2,0.548
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0.006
1975,8,0.18
1975,9,0.235
1975,10,0
1975,11,0
1975,12,0
1979,1,0.035
1979,2,0.511
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0
1979,8,0.19
1979,9,0.264
1979,10,0
1979,11,0
1979,12,0
1983,1,0.044
1983,2,0.485
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0.046
1983,8,0.189
1983,9,0.237
1983,10,0
1983,11,0
1983,12,0
1987,1,0.006
1987,2,0.423
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0.079
1987,8,0.164
1987,9,0.257
1987,10,0
1987,11,0
1987,12,0.071
1991,1,0
1991,2,0.308
1991,3,0.048
1991,4,0.005
1991,5,0
1991,6,0
1991,7,0.092
1991,8,0.15
1991,9,0.241
1991,10,0
1991,11,0
1991,12,0.157
1995,1,0
1995,2,0.359
1995,3,0.044
1995,4,0
1995,5,0
1995,6,0
1995,7,0.033
1995,8,0.174
1995,9,0.182
1995,10,0
1995,11,0.06
1995,12,0.147
1999,1,0
1999,2,0.42
1999,3,0.035
1999,4,0
1999,5,0
1999,6,0
1999,7,0.019
1999,8,0.14
1999,9,0.197
1999,10,0
1999,11,0.175
1999,12,0.013
2003,1,0
2003,2,0.358
2003,3,0.043
2003,4,0.009
2003,5,0
2003,6,0
2003,7,0
2003,8,0.155
2003,9,0.204
2003,10,0
2003,11,0.232
2003,12,0
2007,1,0
2007,2,0.271
2007,3,0.09
2007,4,0.016
2007,5,0
2007,6,0
2007,7,0
2007,8,0.186
2007,9,0.16
2007,10,0
2007,11,0.273
2007,12,0.004
2011,1,0
2011,2,0.241
2011,3,0.049
2011,4,0.008
2011,5,0.045
2011,6,0.08
2011,7,0.018
2011,8,0.141
2011,9,0.139
2011,10,0
2011,11,0.273
2011,12,0.005
2015,1,0
2015,2,0.259
2015,3,0.03
2015,4,0.009
2015,5,0.02
2015,6,0.053
2015,7,0.007
2015,8,0.13
2015,9,0.2
2015,10,0
2015,11,0.289
2015,12,0.004
