year,party,support
1975,1,0.01
1975,2,0.122
1975,3,0.009
1975,4,0
1975,5,0
1975,6,0
1975,7,0.036
1975,8,0
1975,9,0.284
1975,10,0
1975,11,0.527
1975,12,0.01
1979,1,0.089
1979,2,0.196
1979,3,0.044
1979,4,0
1979,5,0
1979,6,0
1979,7,0.02
1979,8,0.004
1979,9,0.302
1979,10,0
1979,11,0.346
1979,12,0
1983,1,0.059
1983,2,0.069
1983,3,0.073
1983,4,0
1983,5,0
1983,6,0
1983,7,0.033
1983,8,0.002
1983,9,0.33
1983,10,0
1983,11,0.432
1983,12,0.002
1987,1,0.113
1987,2,0.064
1987,3,0.132
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0.002
1987,9,0.286
1987,10,0
1987,11,0.331
1987,12,0.071
1991,1,0.075
1991,2,0.082
1991,3,0.109
1991,4,0
1991,5,0
1991,6,0
1991,7,0.004
1991,8,0.005
1991,9,0.31
1991,10,0
1991,11,0.338
1991,12,0.077
1995,1,0.078
1995,2,0.115
1995,3,0.029
1995,4,0
1995,5,0
1995,6,0
1995,7,0.019
1995,8,0.012
1995,9,0.297
1995,10,0
1995,11,0.377
1995,12,0.073
1999,1,0.131
1999,2,0.098
1999,3,0.001
1999,4,0
1999,5,0
1999,6,0
1999,7,0.022
1999,8,0
1999,9,0.303
1999,10,0
1999,11,0.33
1999,12,0.115
2003,1,0.125
2003,2,0.183
2003,3,0.082
2003,4,0.002
2003,5,0
2003,6,0
2003,7,0.019
2003,8,0.01
2003,9,0.228
2003,10,0
2003,11,0.252
2003,12,0.099
2007,1,0.128
2007,2,0.114
2007,3,0.082
2007,4,0.016
2007,5,0
2007,6,0
2007,7,0.071
2007,8,0.047
2007,9,0.166
2007,10,0
2007,11,0.304
2007,12,0.071
2011,1,0.055
2011,2,0.188
2011,3,0.069
2011,4,0.004
2011,5,0.082
2011,6,0.012
2011,7,0.019
2011,8,0.031
2011,9,0.127
2011,10,0
2011,11,0.354
2011,12,0.059
2015,1,0.026
2015,2,0.14
2015,3,0.073
2015,4,0.006
2015,5,0.063
2015,6,0.028
2015,7,0.087
2015,8,0.034
2015,9,0.219
2015,10,0
2015,11,0.307
2015,12,0.017
