year,party,support
1975,1,0
1975,2,0.062
1975,3,0
1975,4,0.003
1975,5,0
1975,6,0
1975,7,0
1975,8,0
1975,9,0.033
1975,10,0
1975,11,0.901
1975,12,0.002
1979,1,0.006
1979,2,0.115
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0.008
1979,8,0
1979,9,0.043
1979,10,0
1979,11,0.824
1979,12,0.004
1983,1,0.03
1983,2,0.12
1983,3,0
1983,4,0.005
1983,5,0
1983,6,0
1983,7,0.046
1983,8,0
1983,9,0.012
1983,10,0
1983,11,0.783
1983,12,0.005
1987,1,0.017
1987,2,0.084
1987,3,0.118
1987,4,0.015
1987,5,0
1987,6,0
1987,7,0.031
1987,8,0.012
1987,9,0.034
1987,10,0
1987,11,0.684
1987,12,0.005
1991,1,0.003
1991,2,0.091
1991,3,0.19
1991,4,0.015
1991,5,0
1991,6,0
1991,7,0.012
1991,8,0.005
1991,9,0.054
1991,10,0
1991,11,0.597
1991,12,0.032
1995,1,0.016
1995,2,0.161
1995,3,0.034
1995,4,0.035
1995,5,0
1995,6,0
1995,7,0.005
1995,8,0.004
1995,9,0.096
1995,10,0
1995,11,0.585
1995,12,0.064
1999,1,0
1999,2,0.144
1999,3,0.137
1999,4,0.038
1999,5,0
1999,6,0
1999,7,0.038
1999,8,0.009
1999,9,0.082
1999,10,0
1999,11,0.465
1999,12,0.086
2003,1,0
2003,2,0.179
2003,3,0.14
2003,4,0.058
2003,5,0
2003,6,0
2003,7,0.014
2003,8,0.005
2003,9,0.069
2003,10,0
2003,11,0.483
2003,12,0.053
2007,1,0
2007,2,0.141
2007,3,0.13
2007,4,0.013
2007,5,0
2007,6,0
2007,7,0.001
2007,8,0.03
2007,9,0.157
2007,10,0
2007,11,0.489
2007,12,0.039
2011,1,0
2011,2,0.11
2011,3,0.11
2011,4,0.005
2011,5,0.068
2011,6,0.132
2011,7,0.024
2011,8,0.016
2011,9,0.102
2011,10,0
2011,11,0.381
2011,12,0.054
2015,1,0.001
2015,2,0.07
2015,3,0.109
2015,4,0.009
2015,5,0.073
2015,6,0.113
2015,7,0.004
2015,8,0.012
2015,9,0.132
2015,10,0
2015,11,0.446
2015,12,0.03
