year,party,support
1975,1,0.073
1975,2,0.305
1975,3,0.003
1975,4,0
1975,5,0
1975,6,0
1975,7,0.043
1975,8,0.015
1975,9,0.365
1975,10,0
1975,11,0.166
1975,12,0.029
1979,1,0.096
1979,2,0.208
1979,3,0.048
1979,4,0
1979,5,0
1979,6,0
1979,7,0.011
1979,8,0.012
1979,9,0.565
1979,10,0
1979,11,0.058
1979,12,0
1983,1,0.039
1983,2,0.184
1983,3,0.028
1983,4,0
1983,5,0
1983,6,0
1983,7,0.012
1983,8,0.013
1983,9,0.683
1983,10,0
1983,11,0.035
1983,12,0.008
1987,1,0.025
1987,2,0.167
1987,3,0.049
1987,4,0
1987,5,0
1987,6,0
1987,7,0.017
1987,8,0.006
1987,9,0.678
1987,10,0
1987,11,0.033
1987,12,0.025
1991,1,0.037
1991,2,0.213
1991,3,0.06
1991,4,0
1991,5,0
1991,6,0
1991,7,0.011
1991,8,0.023
1991,9,0.551
1991,10,0
1991,11,0.073
1991,12,0.032
1995,1,0.119
1995,2,0.195
1995,3,0.028
1995,4,0
1995,5,0
1995,6,0
1995,7,0.032
1995,8,0.049
1995,9,0.464
1995,10,0
1995,11,0.078
1995,12,0.035
1999,1,0.092
1999,2,0.16
1999,3,0.102
1999,4,0
1999,5,0
1999,6,0
1999,7,0.029
1999,8,0.037
1999,9,0.426
1999,10,0
1999,11,0.105
1999,12,0.047
2003,1,0.084
2003,2,0.163
2003,3,0.12
2003,4,0.003
2003,5,0
2003,6,0
2003,7,0.005
2003,8,0.025
2003,9,0.352
2003,10,0
2003,11,0.21
2003,12,0.039
2007,1,0.063
2007,2,0.155
2007,3,0.128
2007,4,0.01
2007,5,0
2007,6,0
2007,7,0.049
2007,8,0.041
2007,9,0.302
2007,10,0
2007,11,0.23
2007,12,0.022
2011,1,0.026
2011,2,0.233
2011,3,0.079
2011,4,0.006
2011,5,0.05
2011,6,0.012
2011,7,0.011
2011,8,0.041
2011,9,0.278
2011,10,0
2011,11,0.243
2011,12,0.02
2015,1,0.028
2015,2,0.154
2015,3,0.086
2015,4,0.004
2015,5,0.042
2015,6,0.024
2015,7,0.02
2015,8,0.086
2015,9,0.289
2015,10,0
2015,11,0.26
2015,12,0.007
