year,party,support
1975,1,0.003
1975,2,0.2
1975,3,0
1975,4,0.012
1975,5,0
1975,6,0
1975,7,0.051
1975,8,0.406
1975,9,0.133
1975,10,0
1975,11,0.144
1975,12,0.051
1979,1,0
1979,2,0.188
1979,3,0
1979,4,0.018
1979,5,0
1979,6,0
1979,7,0.031
1979,8,0.361
1979,9,0.255
1979,10,0
1979,11,0.132
1979,12,0.015
1983,1,0
1983,2,0.205
1983,3,0
1983,4,0.019
1983,5,0
1983,6,0
1983,7,0.033
1983,8,0.322
1983,9,0.288
1983,10,0
1983,11,0.108
1983,12,0.026
1987,1,0.059
1987,2,0.127
1987,3,0
1987,4,0.01
1987,5,0
1987,6,0
1987,7,0.03
1987,8,0.314
1987,9,0.292
1987,10,0
1987,11,0.123
1987,12,0.044
1991,1,0
1991,2,0.143
1991,3,0.039
1991,4,0.007
1991,5,0
1991,6,0
1991,7,0.037
1991,8,0.336
1991,9,0.143
1991,10,0
1991,11,0.194
1991,12,0.1
1995,1,0.007
1995,2,0.124
1995,3,0.041
1995,4,0.008
1995,5,0
1995,6,0
1995,7,0.035
1995,8,0.3
1995,9,0.175
1995,10,0
1995,11,0.186
1995,12,0.124
1999,1,0
1999,2,0.14
1999,3,0.032
1999,4,0.007
1999,5,0
1999,6,0
1999,7,0.011
1999,8,0.343
1999,9,0.184
1999,10,0
1999,11,0.226
1999,12,0.057
2003,1,0.002
2003,2,0.158
2003,3,0.043
2003,4,0.014
2003,5,0
2003,6,0
2003,7,0.002
2003,8,0.3
2003,9,0.187
2003,10,0
2003,11,0.264
2003,12,0.029
2007,1,0
2007,2,0.131
2007,3,0.058
2007,4,0.017
2007,5,0
2007,6,0
2007,7,0.057
2007,8,0.26
2007,9,0.128
2007,10,0
2007,11,0.32
2007,12,0.029
2011,1,0
2011,2,0.154
2011,3,0.081
2011,4,0.012
2011,5,0.039
2011,6,0.063
2011,7,0.012
2011,8,0.207
2011,9,0.095
2011,10,0
2011,11,0.33
2011,12,0.007
2015,1,0
2015,2,0.146
2015,3,0.052
2015,4,0.01
2015,5,0.023
2015,6,0.047
2015,7,0.014
2015,8,0.184
2015,9,0.139
2015,10,0
2015,11,0.381
2015,12,0.004
