year,party,support
1975,1,0.013
1975,2,0.318
1975,3,0
1975,4,0.024
1975,5,0
1975,6,0
1975,7,0.035
1975,8,0
1975,9,0.072
1975,10,0
1975,11,0.472
1975,12,0.066
1979,1,0.036
1979,2,0.27
1979,3,0
1979,4,0.002
1979,5,0
1979,6,0
1979,7,0.067
1979,8,0.015
1979,9,0.038
1979,10,0
1979,11,0.5
1979,12,0.072
1983,1,0.081
1983,2,0.149
1983,3,0
1983,4,0.034
1983,5,0
1983,6,0
1983,7,0.106
1983,8,0.001
1983,9,0.056
1983,10,0
1983,11,0.526
1983,12,0.047
1987,1,0.011
1987,2,0.209
1987,3,0.059
1987,4,0.028
1987,5,0
1987,6,0
1987,7,0.068
1987,8,0.004
1987,9,0.028
1987,10,0
1987,11,0.427
1987,12,0.167
1991,1,0.015
1991,2,0.157
1991,3,0.032
1991,4,0.042
1991,5,0
1991,6,0
1991,7,0.053
1991,8,0.002
1991,9,0.022
1991,10,0
1991,11,0.383
1991,12,0.293
1995,1,0.002
1995,2,0.166
1995,3,0.03
1995,4,0.038
1995,5,0
1995,6,0
1995,7,0.026
1995,8,0
1995,9,0.082
1995,10,0
1995,11,0.272
1995,12,0.383
1999,1,0
1999,2,0.172
1999,3,0.062
1999,4,0.011
1999,5,0
1999,6,0
1999,7,0.027
1999,8,0
1999,9,0.143
1999,10,0
1999,11,0.414
1999,12,0.172
2003,1,0
2003,2,0.228
2003,3,0.038
2003,4,0.021
2003,5,0
2003,6,0
2003,7,0.03
2003,8,0.002
2003,9,0.079
2003,10,0
2003,11,0.423
2003,12,0.18
2007,1,0
2007,2,0.117
2007,3,0.099
2007,4,0.083
2007,5,0
2007,6,0
2007,7,0.038
2007,8,0.017
2007,9,0.179
2007,10,0
2007,11,0.411
2007,12,0.055
2011,1,0.001
2011,2,0.114
2011,3,0.098
2011,4,0.017
2011,5,0.028
2011,6,0.158
2011,7,0.021
2011,8,0.037
2011,9,0.067
2011,10,0
2011,11,0.409
2011,12,0.051
2015,1,0
2015,2,0.124
2015,3,0.132
2015,4,0.038
2015,5,0.031
2015,6,0.119
2015,7,0.014
2015,8,0.016
2015,9,0.069
2015,10,0
2015,11,0.449
2015,12,0.008
