year,party,support
1975,1,0.088
1975,2,0.118
1975,3,0.023
1975,4,0
1975,5,0
1975,6,0
1975,7,0.05
1975,8,0.047
1975,9,0.595
1975,10,0
1975,11,0.028
1975,12,0.05
1979,1,0.064
1979,2,0.148
1979,3,0.077
1979,4,0
1979,5,0
1979,6,0
1979,7,0.035
1979,8,0.03
1979,9,0.618
1979,10,0
1979,11,0.028
1979,12,0
1983,1,0.082
1983,2,0.088
1983,3,0.052
1983,4,0
1983,5,0
1983,6,0
1983,7,0.019
1983,8,0.009
1983,9,0.714
1983,10,0
1983,11,0.02
1983,12,0.016
1987,1,0.062
1987,2,0.071
1987,3,0.115
1987,4,0
1987,5,0
1987,6,0
1987,7,0.019
1987,8,0.024
1987,9,0.65
1987,10,0
1987,11,0.04
1987,12,0.018
1991,1,0.086
1991,2,0.098
1991,3,0.074
1991,4,0
1991,5,0
1991,6,0
1991,7,0.013
1991,8,0.04
1991,9,0.587
1991,10,0
1991,11,0.057
1991,12,0.044
1995,1,0.084
1995,2,0.095
1995,3,0.063
1995,4,0
1995,5,0
1995,6,0
1995,7,0.04
1995,8,0.067
1995,9,0.554
1995,10,0
1995,11,0.059
1995,12,0.038
1999,1,0.041
1999,2,0.098
1999,3,0.051
1999,4,0
1999,5,0
1999,6,0
1999,7,0.034
1999,8,0.065
1999,9,0.53
1999,10,0
1999,11,0.147
1999,12,0.033
2003,1,0.039
2003,2,0.111
2003,3,0.107
2003,4,0.005
2003,5,0
2003,6,0
2003,7,0.004
2003,8,0.053
2003,9,0.423
2003,10,0
2003,11,0.247
2003,12,0.011
2007,1,0.021
2007,2,0.118
2007,3,0.095
2007,4,0.014
2007,5,0
2007,6,0
2007,7,0.046
2007,8,0.072
2007,9,0.379
2007,10,0
2007,11,0.245
2007,12,0.01
2011,1,0.021
2011,2,0.139
2011,3,0.074
2011,4,0.001
2011,5,0.069
2011,6,0.015
2011,7,0.017
2011,8,0.068
2011,9,0.348
2011,10,0
2011,11,0.236
2011,12,0.013
2015,1,0.007
2015,2,0.118
2015,3,0.08
2015,4,0.001
2015,5,0.06
2015,6,0.014
2015,7,0.023
2015,8,0.066
2015,9,0.384
2015,10,0
2015,11,0.246
2015,12,0
