year,party,support
1975,1,0.004
1975,2,0.29
1975,3,0
1975,4,0.145
1975,5,0
1975,6,0
1975,7,0.072
1975,8,0.048
1975,9,0.218
1975,10,0
1975,11,0.124
1975,12,0.1
1979,1,0
1979,2,0.328
1979,3,0
1979,4,0.128
1979,5,0
1979,6,0
1979,7,0.069
1979,8,0.05
1979,9,0.258
1979,10,0
1979,11,0.119
1979,12,0.048
1983,1,0
1983,2,0.321
1983,3,0
1983,4,0.119
1983,5,0
1983,6,0
1983,7,0.074
1983,8,0.058
1983,9,0.234
1983,10,0
1983,11,0.147
1983,12,0.047
1987,1,0.04
1987,2,0.221
1987,3,0
1987,4,0.09
1987,5,0
1987,6,0
1987,7,0.045
1987,8,0.043
1987,9,0.211
1987,10,0
1987,11,0.145
1987,12,0.205
1991,1,0
1991,2,0.191
1991,3,0.036
1991,4,0.107
1991,5,0
1991,6,0
1991,7,0.037
1991,8,0.031
1991,9,0.149
1991,10,0
1991,11,0.185
1991,12,0.262
1995,1,0.009
1995,2,0.178
1995,3,0.043
1995,4,0.085
1995,5,0
1995,6,0
1995,7,0.028
1995,8,0.036
1995,9,0.136
1995,10,0
1995,11,0.214
1995,12,0.269
1999,1,0
1999,2,0.161
1999,3,0.041
1999,4,0.084
1999,5,0
1999,6,0
1999,7,0.023
1999,8,0.071
1999,9,0.153
1999,10,0
1999,11,0.397
1999,12,0.069
2003,1,0.005
2003,2,0.192
2003,3,0.044
2003,4,0.076
2003,5,0
2003,6,0
2003,7,0.004
2003,8,0.089
2003,9,0.115
2003,10,0
2003,11,0.453
2003,12,0.022
2007,1,0
2007,2,0.154
2007,3,0.055
2007,4,0.059
2007,5,0
2007,6,0
2007,7,0.055
2007,8,0.056
2007,9,0.104
2007,10,0
2007,11,0.508
2007,12,0.009
2011,1,0
2011,2,0.152
2011,3,0.051
2011,4,0.047
2011,5,0.038
2011,6,0.064
2011,7,0.019
2011,8,0.041
2011,9,0.094
2011,10,0
2011,11,0.474
2011,12,0.019
2015,1,0
2015,2,0.114
2015,3,0.036
2015,4,0.038
2015,5,0.035
2015,6,0.057
2015,7,0.021
2015,8,0.039
2015,9,0.144
2015,10,0
2015,11,0.506
2015,12,0.009
