year,party,support
1975,1,0.005
1975,2,0.366
1975,3,0
1975,4,0.043
1975,5,0
1975,6,0
1975,7,0.03
1975,8,0.011
1975,9,0.251
1975,10,0
1975,11,0.217
1975,12,0.076
1979,1,0.025
1979,2,0.323
1979,3,0
1979,4,0.035
1979,5,0
1979,6,0
1979,7,0.019
1979,8,0.008
1979,9,0.287
1979,10,0
1979,11,0.261
1979,12,0.042
1983,1,0.038
1983,2,0.33
1983,3,0
1983,4,0.026
1983,5,0
1983,6,0
1983,7,0.052
1983,8,0.011
1983,9,0.236
1983,10,0
1983,11,0.243
1983,12,0.065
1987,1,0.02
1987,2,0.251
1987,3,0.06
1987,4,0.035
1987,5,0
1987,6,0
1987,7,0.05
1987,8,0.013
1987,9,0.196
1987,10,0
1987,11,0.27
1987,12,0.104
1991,1,0.023
1991,2,0.22
1991,3,0.073
1991,4,0.043
1991,5,0
1991,6,0
1991,7,0.053
1991,8,0.013
1991,9,0.163
1991,10,0
1991,11,0.233
1991,12,0.182
1995,1,0.026
1995,2,0.256
1995,3,0.043
1995,4,0.059
1995,5,0
1995,6,0
1995,7,0.027
1995,8,0.012
1995,9,0.209
1995,10,0
1995,11,0.232
1995,12,0.136
1999,1,0
1999,2,0.266
1999,3,0.064
1999,4,0.059
1999,5,0
1999,6,0
1999,7,0.014
1999,8,0.023
1999,9,0.215
1999,10,0
1999,11,0.254
1999,12,0.106
2003,1,0
2003,2,0.287
2003,3,0.057
2003,4,0.049
2003,5,0
2003,6,0
2003,7,0.019
2003,8,0.01
2003,9,0.191
2003,10,0
2003,11,0.285
2003,12,0.102
2007,1,0
2007,2,0.196
2007,3,0.072
2007,4,0.054
2007,5,0
2007,6,0
2007,7,0.014
2007,8,0.036
2007,9,0.187
2007,10,0
2007,11,0.363
2007,12,0.077
2011,1,0.005
2011,2,0.183
2011,3,0.058
2011,4,0.04
2011,5,0.034
2011,6,0.145
2011,7,0.022
2011,8,0.02
2011,9,0.121
2011,10,0
2011,11,0.318
2011,12,0.052
2015,1,0.005
2015,2,0.155
2015,3,0.051
2015,4,0.046
2015,5,0.042
2015,6,0.112
2015,7,0.017
2015,8,0.012
2015,9,0.108
2015,10,0
2015,11,0.415
2015,12,0.037
