year,party,support
1975,1,0
1975,2,0.279
1975,3,0
1975,4,0.057
1975,5,0
1975,6,0
1975,7,0.034
1975,8,0.001
1975,9,0.038
1975,10,0
1975,11,0.568
1975,12,0.023
1979,1,0.013
1979,2,0.161
1979,3,0
1979,4,0.033
1979,5,0
1979,6,0
1979,7,0.024
1979,8,0.003
1979,9,0.056
1979,10,0
1979,11,0.691
1979,12,0.019
1983,1,0.014
1983,2,0.185
1983,3,0
1983,4,0.049
1983,5,0
1983,6,0
1983,7,0.041
1983,8,0.002
1983,9,0.032
1983,10,0
1983,11,0.632
1983,12,0.044
1987,1,0.007
1987,2,0.084
1987,3,0.074
1987,4,0.041
1987,5,0
1987,6,0
1987,7,0.055
1987,8,0.006
1987,9,0.028
1987,10,0
1987,11,0.592
1987,12,0.115
1991,1,0.005
1991,2,0.114
1991,3,0.1
1991,4,0.045
1991,5,0
1991,6,0
1991,7,0.057
1991,8,0.001
1991,9,0.026
1991,10,0
1991,11,0.471
1991,12,0.181
1995,1,0.01
1995,2,0.101
1995,3,0.071
1995,4,0.05
1995,5,0
1995,6,0
1995,7,0.02
1995,8,0.011
1995,9,0.063
1995,10,0
1995,11,0.538
1995,12,0.135
1999,1,0
1999,2,0.136
1999,3,0.04
1999,4,0.024
1999,5,0
1999,6,0
1999,7,0.03
1999,8,0.004
1999,9,0.06
1999,10,0
1999,11,0.582
1999,12,0.124
2003,1,0
2003,2,0.123
2003,3,0.048
2003,4,0.093
2003,5,0
2003,6,0
2003,7,0.003
2003,8,0.013
2003,9,0.057
2003,10,0
2003,11,0.553
2003,12,0.11
2007,1,0
2007,2,0.099
2007,3,0.087
2007,4,0.051
2007,5,0
2007,6,0
2007,7,0.01
2007,8,0.019
2007,9,0.046
2007,10,0
2007,11,0.612
2007,12,0.075
2011,1,0.005
2011,2,0.056
2011,3,0.045
2011,4,0.057
2011,5,0.031
2011,6,0.211
2011,7,0.025
2011,8,0.011
2011,9,0.035
2011,10,0
2011,11,0.453
2011,12,0.071
2015,1,0
2015,2,0.059
2015,3,0.007
2015,4,0.092
2015,5,0.024
2015,6,0.171
2015,7,0.023
2015,8,0.011
2015,9,0.042
2015,10,0
2015,11,0.514
2015,12,0.056
