year,party,support
1975,1,0.056
1975,2,0.136
1975,3,0.014
1975,4,0
1975,5,0
1975,6,0
1975,7,0.009
1975,8,0.01
1975,9,0.551
1975,10,0
1975,11,0.223
1975,12,0.002
1979,1,0.03
1979,2,0.136
1979,3,0.004
1979,4,0
1979,5,0
1979,6,0
1979,7,0.005
1979,8,0.002
1979,9,0.647
1979,10,0
1979,11,0.175
1979,12,0
1983,1,0.052
1983,2,0.074
1983,3,0.027
1983,4,0
1983,5,0
1983,6,0
1983,7,0.015
1983,8,0.001
1983,9,0.602
1983,10,0
1983,11,0.229
1983,12,0
1987,1,0.035
1987,2,0.119
1987,3,0.023
1987,4,0
1987,5,0
1987,6,0
1987,7,0.001
1987,8,0.001
1987,9,0.608
1987,10,0
1987,11,0.175
1987,12,0.039
1991,1,0.05
1991,2,0.106
1991,3,0.02
1991,4,0
1991,5,0
1991,6,0
1991,7,0.005
1991,8,0.001
1991,9,0.518
1991,10,0
1991,11,0.297
1991,12,0.003
1995,1,0.071
1995,2,0.092
1995,3,0.013
1995,4,0
1995,5,0
1995,6,0
1995,7,0.027
1995,8,0.023
1995,9,0.505
1995,10,0
1995,11,0.245
1995,12,0.024
1999,1,0.062
1999,2,0.149
1999,3,0.038
1999,4,0
1999,5,0
1999,6,0
1999,7,0.002
1999,8,0.023
1999,9,0.489
1999,10,0
1999,11,0.2
1999,12,0.038
2003,1,0.072
2003,2,0.179
2003,3,0.04
2003,4,0
2003,5,0
2003,6,0
2003,7,0.011
2003,8,0.036
2003,9,0.352
2003,10,0
2003,11,0.292
2003,12,0.019
2007,1,0.031
2007,2,0.179
2007,3,0.117
2007,4,0.011
2007,5,0
2007,6,0
2007,7,0.007
2007,8,0.022
2007,9,0.334
2007,10,0
2007,11,0.286
2007,12,0.011
2011,1,0.018
2011,2,0.18
2011,3,0.1
2011,4,0.013
2011,5,0.039
2011,6,0.003
2011,7,0.006
2011,8,0.028
2011,9,0.291
2011,10,0
2011,11,0.312
2011,12,0.012
2015,1,0.021
2015,2,0.179
2015,3,0.123
2015,4,0.009
2015,5,0.06
2015,6,0.028
2015,7,0.04
2015,8,0.041
2015,9,0.271
2015,10,0
2015,11,0.228
2015,12,0
