year,party,support
1975,1,0.03
1975,2,0.247
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0.052
1975,8,0
1975,9,0.672
1975,10,0
1975,11,0
1975,12,0
1979,1,0.01
1979,2,0.252
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0.035
1979,8,0
1979,9,0.704
1979,10,0
1979,11,0
1979,12,0
1983,1,0.024
1983,2,0.175
1983,3,0.064
1983,4,0
1983,5,0
1983,6,0
1983,7,0.044
1983,8,0
1983,9,0.693
1983,10,0
1983,11,0
1983,12,0
1987,1,0.01
1987,2,0.132
1987,3,0.045
1987,4,0
1987,5,0
1987,6,0
1987,7,0.219
1987,8,0
1987,9,0.572
1987,10,0
1987,11,0
1987,12,0.022
1991,1,0.023
1991,2,0.15
1991,3,0.104
1991,4,0
1991,5,0
1991,6,0
1991,7,0.013
1991,8,0
1991,9,0.686
1991,10,0
1991,11,0
1991,12,0.024
1995,1,0.032
1995,2,0.166
1995,3,0.059
1995,4,0
1995,5,0
1995,6,0
1995,7,0.015
1995,8,0
1995,9,0.659
1995,10,0
1995,11,0
1995,12,0.069
1999,1,0.016
1999,2,0.136
1999,3,0.298
1999,4,0
1999,5,0
1999,6,0
1999,7,0.005
1999,8,0
1999,9,0.537
1999,10,0
1999,11,0
1999,12,0.008
2003,1,0.018
2003,2,0.163
2003,3,0.258
2003,4,0
2003,5,0
2003,6,0
2003,7,0
2003,8,0
2003,9,0.34
2003,10,0
2003,11,0.22
2003,12,0
2007,1,0.047
2007,2,0.201
2007,3,0.105
2007,4,0.001
2007,5,0
2007,6,0
2007,7,0.013
2007,8,0.04
2007,9,0.321
2007,10,0
2007,11,0.271
2007,12,0
2011,1,0.056
2011,2,0.195
2011,3,0.107
2011,4,0
2011,5,0
2011,6,0.023
2011,7,0
2011,8,0.031
2011,9,0.355
2011,10,0
2011,11,0.233
2011,12,0
2015,1,0.035
2015,2,0.158
2015,3,0.082
2015,4,0
2015,5,0.038
2015,6,0.013
2015,7,0.017
2015,8,0.036
2015,9,0.343
2015,10,0
2015,11,0.278
2015,12,0
