year,party,support
1975,1,0.002
1975,2,0.146
1975,3,0
1975,4,0.031
1975,5,0
1975,6,0
1975,7,0.002
1975,8,0
1975,9,0.008
1975,10,0
1975,11,0.724
1975,12,0.085
1979,1,0.007
1979,2,0.281
1979,3,0
1979,4,0.028
1979,5,0
1979,6,0
1979,7,0.009
1979,8,0.001
1979,9,0.024
1979,10,0
1979,11,0.548
1979,12,0.102
1983,1,0.007
1983,2,0.215
1983,3,0
1983,4,0.022
1983,5,0
1983,6,0
1983,7,0.056
1983,8,0.001
1983,9,0.014
1983,10,0
1983,11,0.567
1983,12,0.118
1987,1,0.011
1987,2,0.13
1987,3,0.04
1987,4,0.037
1987,5,0
1987,6,0
1987,7,0.027
1987,8,0.011
1987,9,0.015
1987,10,0
1987,11,0.585
1987,12,0.145
1991,1,0.001
1991,2,0.104
1991,3,0.052
1991,4,0.011
1991,5,0
1991,6,0
1991,7,0.014
1991,8,0.001
1991,9,0.016
1991,10,0
1991,11,0.621
1991,12,0.178
1995,1,0.006
1995,2,0.117
1995,3,0.027
1995,4,0.017
1995,5,0
1995,6,0
1995,7,0.001
1995,8,0.001
1995,9,0.01
1995,10,0
1995,11,0.604
1995,12,0.217
1999,1,0
1999,2,0.106
1999,3,0.008
1999,4,0.01
1999,5,0
1999,6,0
1999,7,0.037
1999,8,0.006
1999,9,0.06
1999,10,0
1999,11,0.581
1999,12,0.192
2003,1,0
2003,2,0.092
2003,3,0.108
2003,4,0.027
2003,5,0
2003,6,0
2003,7,0.015
2003,8,0
2003,9,0.02
2003,10,0
2003,11,0.533
2003,12,0.205
2007,1,0
2007,2,0.079
2007,3,0.054
2007,4,0.012
2007,5,0
2007,6,0
2007,7,0.019
2007,8,0.006
2007,9,0.038
2007,10,0
2007,11,0.614
2007,12,0.18
2011,1,0.003
2011,2,0.053
2011,3,0.027
2011,4,0.01
2011,5,0.009
2011,6,0.113
2011,7,0.009
2011,8,0
2011,9,0.016
2011,10,0
2011,11,0.619
2011,12,0.141
2015,1,0.001
2015,2,0.059
2015,3,0.036
2015,4,0.007
2015,5,0.017
2015,6,0.057
2015,7,0.001
2015,8,0.001
2015,9,0.013
2015,10,0
2015,11,0.644
2015,12,0.164
