year,party,support
1975,1,0
1975,2,0.046
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0
1975,8,0.804
1975,9,0.082
1975,10,0
1975,11,0.062
1975,12,0.006
1979,1,0
1979,2,0.046
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0
1979,8,0.836
1979,9,0.086
1979,10,0
1979,11,0.033
1979,12,0
1983,1,0
1983,2,0.073
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0
1983,8,0.704
1983,9,0.131
1983,10,0
1983,11,0.091
1983,12,0
1987,1,0.013
1987,2,0.122
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0.048
1987,8,0.573
1987,9,0.152
1987,10,0
1987,11,0.092
1987,12,0
1991,1,0.02
1991,2,0.073
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0.068
1991,8,0.606
1991,9,0.09
1991,10,0
1991,11,0.143
1991,12,0
1995,1,0.003
1995,2,0.082
1995,3,0.007
1995,4,0
1995,5,0
1995,6,0
1995,7,0.021
1995,8,0.507
1995,9,0.103
1995,10,0
1995,11,0.276
1995,12,0
1999,1,0
1999,2,0.131
1999,3,0
1999,4,0
1999,5,0
1999,6,0
1999,7,0.017
1999,8,0.605
1999,9,0.086
1999,10,0
1999,11,0.162
1999,12,0
2003,1,0
2003,2,0.112
2003,3,0
2003,4,0
2003,5,0
2003,6,0
2003,7,0
2003,8,0.446
2003,9,0.104
2003,10,0
2003,11,0.328
2003,12,0.01
2007,1,0
2007,2,0.162
2007,3,0
2007,4,0
2007,5,0
2007,6,0
2007,7,0.003
2007,8,0.389
2007,9,0.108
2007,10,0
2007,11,0.332
2007,12,0.006
2011,1,0
2011,2,0.053
2011,3,0.007
2011,4,0
2011,5,0.052
2011,6,0.259
2011,7,0
2011,8,0.323
2011,9,0.176
2011,10,0
2011,11,0.119
2011,12,0.012
2015,1,0
2015,2,0.067
2015,3,0
2015,4,0
2015,5,0.046
2015,6,0.175
2015,7,0.001
2015,8,0.27
2015,9,0.185
2015,10,0
2015,11,0.256
2015,12,0
