year,party,support
1975,1,0
1975,2,0.203
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0.008
1975,8,0.642
1975,9,0.078
1975,10,0
1975,11,0.069
1975,12,0
1979,1,0
1979,2,0.217
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0
1979,8,0.434
1979,9,0.163
1979,10,0
1979,11,0.186
1979,12,0
1983,1,0
1983,2,0.177
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0.117
1983,8,0.299
1983,9,0.22
1983,10,0
1983,11,0.186
1983,12,0
1987,1,0
1987,2,0.186
1987,3,0.09
1987,4,0
1987,5,0
1987,6,0
1987,7,0.022
1987,8,0.322
1987,9,0.113
1987,10,0
1987,11,0.266
1987,12,0
1991,1,0
1991,2,0.096
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0.11
1991,8,0.571
1991,9,0.083
1991,10,0
1991,11,0.13
1991,12,0.01
1995,1,0.009
1995,2,0.084
1995,3,0.026
1995,4,0
1995,5,0
1995,6,0
1995,7,0.127
1995,8,0.466
1995,9,0.08
1995,10,0
1995,11,0.205
1995,12,0.002
1999,1,0
1999,2,0.13
1999,3,0
1999,4,0
1999,5,0
1999,6,0
1999,7,0.166
1999,8,0.536
1999,9,0.046
1999,10,0
1999,11,0.121
1999,12,0
2003,1,0
2003,2,0.176
2003,3,0.012
2003,4,0.002
2003,5,0
2003,6,0
2003,7,0.11
2003,8,0.375
2003,9,0.058
2003,10,0
2003,11,0.265
2003,12,0.001
2007,1,0
2007,2,0.174
2007,3,0.048
2007,4,0.001
2007,5,0
2007,6,0
2007,7,0.038
2007,8,0.393
2007,9,0.113
2007,10,0
2007,11,0.231
2007,12,0.002
2011,1,0
2011,2,0.24
2011,3,0.043
2011,4,0.002
2011,5,0.03
2011,6,0.006
2011,7,0.032
2011,8,0.21
2011,9,0.178
2011,10,0
2011,11,0.25
2011,12,0.008
2015,1,0
2015,2,0.189
2015,3,0.049
2015,4,0.008
2015,5,0.011
2015,6,0.003
2015,7,0.013
2015,8,0.232
2015,9,0.191
2015,10,0
2015,11,0.297
2015,12,0.008
