year,party,support
1975,1,0.037
1975,2,0.18
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0.006
1975,8,0.278
1975,9,0.499
1975,10,0
1975,11,0
1975,12,0
1979,1,0.047
1979,2,0.158
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0
1979,8,0.32
1979,9,0.474
1979,10,0
1979,11,0
1979,12,0
1983,1,0.021
1983,2,0.136
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0.058
1983,8,0.394
1983,9,0.391
1983,10,0
1983,11,0
1983,12,0
1987,1,0.001
1987,2,0.113
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0.073
1987,8,0.392
1987,9,0.38
1987,10,0
1987,11,0
1987,12,0.041
1991,1,0
1991,2,0.136
1991,3,0.059
1991,4,0.015
1991,5,0
1991,6,0
1991,7,0.07
1991,8,0.285
1991,9,0.345
1991,10,0
1991,11,0
1991,12,0.09
1995,1,0
1995,2,0.158
1995,3,0.047
1995,4,0
1995,5,0
1995,6,0
1995,7,0.033
1995,8,0.272
1995,9,0.271
1995,10,0
1995,11,0.074
1995,12,0.146
1999,1,0
1999,2,0.177
1999,3,0.028
1999,4,0
1999,5,0
1999,6,0
1999,7,0.017
1999,8,0.265
1999,9,0.28
1999,10,0
1999,11,0.22
1999,12,0.013
2003,1,0
2003,2,0.186
2003,3,0.057
2003,4,0.008
2003,5,0
2003,6,0
2003,7,0
2003,8,0.265
2003,9,0.237
2003,10,0
2003,11,0.247
2003,12,0
2007,1,0
2007,2,0.135
2007,3,0.063
2007,4,0.014
2007,5,0
2007,6,0
2007,7,0
2007,8,0.259
2007,9,0.225
2007,10,0
2007,11,0.3
2007,12,0.004
2011,1,0
2011,2,0.11
2011,3,0.039
2011,4,0.014
2011,5,0.034
2011,6,0.036
2011,7,0.017
2011,8,0.31
2011,9,0.17
2011,10,0
2011,11,0.262
2011,12,0.008
2015,1,0
2015,2,0.13
2015,3,0.02
2015,4,0.008
2015,5,0.023
2015,6,0.022
2015,7,0.013
2015,8,0.221
2015,9,0.235
2015,10,0
2015,11,0.317
2015,12,0.011
