year,party,support
1975,1,0
1975,2,0.205
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0.002
1975,8,0.499
1975,9,0.224
1975,10,0
1975,11,0.07
1975,12,0
1979,1,0
1979,2,0.263
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0
1979,8,0.351
1979,9,0.25
1979,10,0
1979,11,0.136
1979,12,0
1983,1,0
1983,2,0.234
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0.049
1983,8,0.446
1983,9,0.17
1983,10,0
1983,11,0.101
1983,12,0
1987,1,0.012
1987,2,0.239
1987,3,0.039
1987,4,0
1987,5,0
1987,6,0
1987,7,0.021
1987,8,0.373
1987,9,0.172
1987,10,0
1987,11,0.143
1987,12,0
1991,1,0
1991,2,0.146
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0.092
1991,8,0.336
1991,9,0.294
1991,10,0
1991,11,0.131
1991,12,0.001
1995,1,0.002
1995,2,0.162
1995,3,0.015
1995,4,0
1995,5,0
1995,6,0
1995,7,0.122
1995,8,0.466
1995,9,0.135
1995,10,0
1995,11,0.098
1995,12,0
1999,1,0
1999,2,0.185
1999,3,0
1999,4,0
1999,5,0
1999,6,0
1999,7,0.147
1999,8,0.369
1999,9,0.1
1999,10,0
1999,11,0.2
1999,12,0.001
2003,1,0
2003,2,0.242
2003,3,0.023
2003,4,0.001
2003,5,0
2003,6,0
2003,7,0.102
2003,8,0.266
2003,9,0.08
2003,10,0
2003,11,0.282
2003,12,0.004
2007,1,0
2007,2,0.249
2007,3,0.066
2007,4,0.006
2007,5,0
2007,6,0
2007,7,0.051
2007,8,0.261
2007,9,0.145
2007,10,0
2007,11,0.219
2007,12,0.004
2011,1,0
2011,2,0.343
2011,3,0.042
2011,4,0.007
2011,5,0.021
2011,6,0.006
2011,7,0.041
2011,8,0.154
2011,9,0.13
2011,10,0
2011,11,0.249
2011,12,0.008
2015,1,0
2015,2,0.26
2015,3,0.048
2015,4,0.002
2015,5,0.019
2015,6,0.009
2015,7,0.008
2015,8,0.211
2015,9,0.155
2015,10,0
2015,11,0.28
2015,12,0.008
