year,party,support
1975,1,0.008
1975,2,0.087
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0.048
1975,8,0.649
1975,9,0.133
1975,10,0
1975,11,0
1975,12,0.075
1979,1,0
1979,2,0.16
1979,3,0
1979,4,0.01
1979,5,0
1979,6,0
1979,7,0.065
1979,8,0.596
1979,9,0.17
1979,10,0
1979,11,0
1979,12,0
1983,1,0.027
1983,2,0.102
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0.092
1983,8,0.567
1983,9,0.201
1983,10,0
1983,11,0.011
1983,12,0
1987,1,0.058
1987,2,0.069
1987,3,0
1987,4,0.012
1987,5,0
1987,6,0
1987,7,0.112
1987,8,0.528
1987,9,0.13
1987,10,0
1987,11,0
1987,12,0.092
1991,1,0
1991,2,0.077
1991,3,0.048
1991,4,0
1991,5,0
1991,6,0
1991,7,0.137
1991,8,0.442
1991,9,0.115
1991,10,0
1991,11,0
1991,12,0.181
1995,1,0
1995,2,0.135
1995,3,0.06
1995,4,0.007
1995,5,0
1995,6,0
1995,7,0.071
1995,8,0.382
1995,9,0.129
1995,10,0
1995,11,0.078
1995,12,0.137
1999,1,0
1999,2,0.125
1999,3,0.045
1999,4,0.004
1999,5,0
1999,6,0
1999,7,0.029
1999,8,0.321
1999,9,0.137
1999,10,0
1999,11,0.296
1999,12,0.043
2003,1,0
2003,2,0.133
2003,3,0.066
2003,4,0.01
2003,5,0
2003,6,0
2003,7,0.01
2003,8,0.285
2003,9,0.098
2003,10,0
2003,11,0.383
2003,12,0.016
2007,1,0
2007,2,0.099
2007,3,0.046
2007,4,0.007
2007,5,0.028
2007,6,0
2007,7,0.01
2007,8,0.249
2007,9,0.115
2007,10,0
2007,11,0.429
2007,12,0.017
2011,1,0
2011,2,0.126
2011,3,0.043
2011,4,0.009
2011,5,0.056
2011,6,0.029
2011,7,0
2011,8,0.232
2011,9,0.121
2011,10,0
2011,11,0.371
2011,12,0.012
2015,1,0
2015,2,0.099
2015,3,0.042
2015,4,0.009
2015,5,0.044
2015,6,0.029
2015,7,0.018
2015,8,0.173
2015,9,0.143
2015,10,0
2015,11,0.435
2015,12,0.008
