year,party,support
1975,1,0.124
1975,2,0.367
1975,3,0.017
1975,4,0
1975,5,0
1975,6,0
1975,7,0.025
1975,8,0.024
1975,9,0.265
1975,10,0
1975,11,0.094
1975,12,0.084
1979,1,0.089
1979,2,0.351
1979,3,0.058
1979,4,0
1979,5,0
1979,6,0
1979,7,0.054
1979,8,0.036
1979,9,0.321
1979,10,0
1979,11,0.091
1979,12,0
1983,1,0.078
1983,2,0.313
1983,3,0.073
1983,4,0
1983,5,0
1983,6,0
1983,7,0.024
1983,8,0.031
1983,9,0.372
1983,10,0
1983,11,0.037
1983,12,0.071
1987,1,0.071
1987,2,0.274
1987,3,0.084
1987,4,0
1987,5,0
1987,6,0
1987,7,0.035
1987,8,0.028
1987,9,0.367
1987,10,0
1987,11,0.045
1987,12,0.097
1991,1,0.096
1991,2,0.264
1991,3,0.065
1991,4,0
1991,5,0
1991,6,0
1991,7,0.05
1991,8,0.025
1991,9,0.374
1991,10,0
1991,11,0.042
1991,12,0.084
1995,1,0.197
1995,2,0.238
1995,3,0.032
1995,4,0
1995,5,0
1995,6,0
1995,7,0.053
1995,8,0.059
1995,9,0.319
1995,10,0
1995,11,0.042
1995,12,0.059
1999,1,0.128
1999,2,0.259
1999,3,0.064
1999,4,0
1999,5,0
1999,6,0
1999,7,0.037
1999,8,0.038
1999,9,0.341
1999,10,0
1999,11,0.096
1999,12,0.037
2003,1,0.122
2003,2,0.265
2003,3,0.104
2003,4,0.01
2003,5,0
2003,6,0
2003,7,0.005
2003,8,0.061
2003,9,0.23
2003,10,0
2003,11,0.187
2003,12,0.017
2007,1,0.078
2007,2,0.246
2007,3,0.142
2007,4,0.008
2007,5,0
2007,6,0
2007,7,0.031
2007,8,0.072
2007,9,0.163
2007,10,0
2007,11,0.249
2007,12,0.01
2011,1,0.03
2011,2,0.282
2011,3,0.111
2011,4,0.011
2011,5,0.03
2011,6,0.006
2011,7,0.013
2011,8,0.066
2011,9,0.206
2011,10,0
2011,11,0.224
2011,12,0.021
2015,1,0.024
2015,2,0.253
2015,3,0.116
2015,4,0.015
2015,5,0.028
2015,6,0.016
2015,7,0.029
2015,8,0.045
2015,9,0.242
2015,10,0
2015,11,0.229
2015,12,0.002
