year,party,support
1975,1,0
1975,2,0.342
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0
1975,8,0.429
1975,9,0.229
1975,10,0
1975,11,0
1975,12,0
1979,1,0.009
1979,2,0.287
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0
1979,8,0.472
1979,9,0.231
1979,10,0
1979,11,0
1979,12,0
1983,1,0.02
1983,2,0.25
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0.011
1983,8,0.364
1983,9,0.355
1983,10,0
1983,11,0
1983,12,0
1987,1,0.002
1987,2,0.212
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0.068
1987,8,0.325
1987,9,0.35
1987,10,0
1987,11,0
1987,12,0.043
1991,1,0
1991,2,0.164
1991,3,0.057
1991,4,0.004
1991,5,0
1991,6,0
1991,7,0.083
1991,8,0.316
1991,9,0.259
1991,10,0
1991,11,0
1991,12,0.116
1995,1,0
1995,2,0.176
1995,3,0.022
1995,4,0
1995,5,0
1995,6,0
1995,7,0.013
1995,8,0.357
1995,9,0.179
1995,10,0
1995,11,0.071
1995,12,0.182
1999,1,0
1999,2,0.199
1999,3,0.02
1999,4,0
1999,5,0
1999,6,0
1999,7,0.011
1999,8,0.337
1999,9,0.242
1999,10,0
1999,11,0.171
1999,12,0.02
2003,1,0
2003,2,0.232
2003,3,0.026
2003,4,0.008
2003,5,0
2003,6,0
2003,7,0
2003,8,0.322
2003,9,0.187
2003,10,0
2003,11,0.226
2003,12,0
2007,1,0
2007,2,0.121
2007,3,0.034
2007,4,0.011
2007,5,0
2007,6,0
2007,7,0
2007,8,0.464
2007,9,0.124
2007,10,0
2007,11,0.244
2007,12,0.002
2011,1,0
2011,2,0.153
2011,3,0.034
2011,4,0.01
2011,5,0.028
2011,6,0.053
2011,7,0.015
2011,8,0.271
2011,9,0.153
2011,10,0
2011,11,0.282
2011,12,0
2015,1,0
2015,2,0.15
2015,3,0.01
2015,4,0.005
2015,5,0.024
2015,6,0.024
2015,7,0.01
2015,8,0.216
2015,9,0.164
2015,10,0
2015,11,0.395
2015,12,0.003
