year,party,support
1975,1,0.005
1975,2,0.193
1975,3,0
1975,4,0.083
1975,5,0
1975,6,0
1975,7,0.115
1975,8,0.031
1975,9,0.065
1975,10,0
1975,11,0.459
1975,12,0.048
1979,1,0
1979,2,0.224
1979,3,0
1979,4,0.11
1979,5,0
1979,6,0
1979,7,0.068
1979,8,0.024
1979,9,0.122
1979,10,0
1979,11,0.403
1979,12,0.049
1983,1,0
1983,2,0.243
1983,3,0
1983,4,0.075
1983,5,0
1983,6,0
1983,7,0.049
1983,8,0.035
1983,9,0.133
1983,10,0
1983,11,0.424
1983,12,0.041
1987,1,0.049
1987,2,0.141
1987,3,0
1987,4,0.05
1987,5,0
1987,6,0
1987,7,0.051
1987,8,0.034
1987,9,0.1
1987,10,0
1987,11,0.476
1987,12,0.099
1991,1,0
1991,2,0.105
1991,3,0.058
1991,4,0.058
1991,5,0
1991,6,0
1991,7,0.058
1991,8,0.026
1991,9,0.064
1991,10,0
1991,11,0.401
1991,12,0.231
1995,1,0.001
1995,2,0.115
1995,3,0.026
1995,4,0.045
1995,5,0
1995,6,0
1995,7,0.055
1995,8,0.038
1995,9,0.098
1995,10,0
1995,11,0.368
1995,12,0.255
1999,1,0
1999,2,0.086
1999,3,0.037
1999,4,0.057
1999,5,0
1999,6,0
1999,7,0.033
1999,8,0.054
1999,9,0.079
1999,10,0
1999,11,0.515
1999,12,0.139
2003,1,0.001
2003,2,0.144
2003,3,0.058
2003,4,0.073
2003,5,0
2003,6,0
2003,7,0.012
2003,8,0.057
2003,9,0.094
2003,10,0
2003,11,0.518
2003,12,0.043
2007,1,0
2007,2,0.127
2007,3,0.067
2007,4,0.042
2007,5,0
2007,6,0
2007,7,0.036
2007,8,0.072
2007,9,0.129
2007,10,0
2007,11,0.491
2007,12,0.036
2011,1,0
2011,2,0.121
2011,3,0.071
2011,4,0.026
2011,5,0.026
2011,6,0.096
2011,7,0.016
2011,8,0.038
2011,9,0.074
2011,10,0
2011,11,0.489
2011,12,0.044
2015,1,0
2015,2,0.116
2015,3,0.03
2015,4,0.048
2015,5,0.024
2015,6,0.046
2015,7,0.018
2015,8,0.028
2015,9,0.113
2015,10,0
2015,11,0.541
2015,12,0.037
