year,party,support
1975,1,0.01
1975,2,0.163
1975,3,0
1975,4,0.044
1975,5,0
1975,6,0
1975,7,0.142
1975,8,0.09
1975,9,0.247
1975,10,0
1975,11,0.188
1975,12,0.116
1979,1,0.011
1979,2,0.205
1979,3,0.006
1979,4,0.042
1979,5,0
1979,6,0
1979,7,0.141
1979,8,0.077
1979,9,0.217
1979,10,0
1979,11,0.275
1979,12,0.026
1983,1,0.032
1983,2,0.187
1983,3,0.026
1983,4,0.039
1983,5,0
1983,6,0
1983,7,0.124
1983,8,0.068
1983,9,0.21
1983,10,0
1983,11,0.262
1983,12,0.052
1987,1,0.015
1987,2,0.144
1987,3,0.067
1987,4,0.038
1987,5,0
1987,6,0
1987,7,0.119
1987,8,0.064
1987,9,0.21
1987,10,0
1987,11,0.229
1987,12,0.114
1991,1,0.007
1991,2,0.192
1991,3,0.076
1991,4,0.044
1991,5,0
1991,6,0
1991,7,0.085
1991,8,0.058
1991,9,0.157
1991,10,0
1991,11,0.237
1991,12,0.143
1995,1,0.01
1995,2,0.204
1995,3,0.063
1995,4,0.028
1995,5,0
1995,6,0
1995,7,0.082
1995,8,0.05
1995,9,0.163
1995,10,0
1995,11,0.328
1995,12,0.073
1999,1,0.006
1999,2,0.22
1999,3,0.03
1999,4,0.055
1999,5,0
1999,6,0
1999,7,0.069
1999,8,0.046
1999,9,0.16
1999,10,0
1999,11,0.383
1999,12,0.031
2003,1,0.003
2003,2,0.231
2003,3,0.069
2003,4,0.052
2003,5,0
2003,6,0
2003,7,0.045
2003,8,0.041
2003,9,0.147
2003,10,0
2003,11,0.368
2003,12,0.043
2007,1,0.006
2007,2,0.168
2007,3,0.084
2007,4,0.066
2007,5,0.062
2007,6,0
2007,7,0.003
2007,8,0.068
2007,9,0.11
2007,10,0
2007,11,0.394
2007,12,0.039
2011,1,0
2011,2,0.182
2011,3,0.059
2011,4,0.039
2011,5,0.125
2011,6,0.054
2011,7,0.018
2011,8,0.04
2011,9,0.092
2011,10,0
2011,11,0.357
2011,12,0.033
2015,1,0.001
2015,2,0.174
2015,3,0.044
2015,4,0.044
2015,5,0.116
2015,6,0.048
2015,7,0.021
2015,8,0.031
2015,9,0.113
2015,10,0
2015,11,0.378
2015,12,0.03
